datetime,NVDA,MSFT,AAPL,AMZN,META,AVGO,GOOGL,GOOG,BRK.B,TSLA,JPM,WMT,ORCL,V,LLY,MA,NFLX,XOM,COST,JNJ,HD,PG,PLTR,BAC,ABBV
1997-09-30,,16.539063,0.193638,0.216925,,,,,29.9,,39.33353,6.104161,6.072947,,60.5,,,32.03125,18.8125,28.84375,17.375087,34.274441,,30.9375,
1997-10-01,,16.734375,0.192243,0.20104,,,,,29.92,,39.854366,6.156244,6.00003,,60.5625,,,32.65625,19.640625,28.9375,17.708422,35.080899,,31.3125,
1997-10-02,,16.648438,0.19587,0.200519,,,,,30.5,,40.146034,6.145827,6.00003,,61.5625,,,32.46875,19.21875,29.28125,17.645922,35.391074,,31.625,
1997-10-03,,16.867188,0.197544,0.200779,,,,,30.6,,40.875204,6.166661,6.145864,,62.5625,,,32.59375,19.28125,29.8125,17.541754,35.360057,,32.3125,
1997-10-06,,16.890625,0.19587,0.206248,,,,,30.88,,41.646042,6.145827,6.177114,,63.625,,,33.375,19.203125,29.90625,17.645922,35.732268,,32.5,
1997-10-07,,17.070313,0.194754,0.202863,,,,,30.78,,42.125211,6.093744,6.25524,,65.8125,,,33.40625,19.03125,30.75,17.520921,36.662796,,33.09375,
1997-10-08,,17.375,0.191964,0.200258,,,,,30.48,,41.896043,5.989577,6.208364,,65.1875,,,32.625,19.3125,30.5,17.583421,36.135497,,32.75,
1997-10-09,,17.367188,0.194196,0.187498,,,,,30.24,,41.854376,5.885411,6.197948,,64.125,,,32.40625,19.5,30.25,18.020923,36.011426,,32.78125,
1997-10-10,,17.0625,0.202567,0.19505,,,,,29.84,,40.562703,5.979161,6.020863,,62.9375,,,32.28125,19.53125,30.03125,18.166758,36.042444,,32.28125,
1997-10-13,,17.09375,0.202567,0.199998,,,,,29.7,,40.646037,5.947911,6.06253,,62.375,,,32.28125,19.8125,30.3125,18.229258,36.104479,,32.78125,
1997-10-14,,17.085938,0.202567,0.198956,,,,,30.04,,41.062705,5.999994,6.00003,,63.90625,,,32.28125,19.78125,30.21875,18.479259,35.763286,,31.9375,
1997-10-15,,16.96875,0.212611,0.196092,,,,,30.02,,41.125206,6.020827,5.822946,,63.84375,,,32.40625,19.5,29.6875,18.437592,35.70125,,31.40625,
1997-10-16,,16.738281,0.191964,0.181248,,,,,29.98,,41.27104,5.947911,5.739612,,63.4375,,,32.0,19.0625,29.4375,18.66676,35.142934,,31.65625,
1997-10-17,,16.53125,0.179687,0.181248,,,,,29.68,,40.562703,5.781244,5.697945,,62.75,,,31.8125,19.0,29.15625,18.354258,34.956828,,31.03125,
1997-10-20,,16.578125,0.166853,0.191144,,,,,29.7,,40.521036,5.906244,5.750029,,64.625,,,32.5,19.1875,29.5,18.166758,35.639215,,31.0,
1997-10-21,,17.3125,0.170201,0.221352,,,,,30.02,,41.229373,6.010411,5.947946,,66.5625,,,32.5625,19.21875,29.90625,18.583426,36.22855,,31.53125,
1997-10-22,,16.960938,0.165736,0.226039,,,,,29.92,,41.479374,5.937494,5.843779,,67.6875,,,32.4375,19.0,29.96875,18.687593,35.825321,,31.21875,
1997-10-23,,16.953125,0.158482,0.224998,,,,,29.6,,40.875204,5.854161,5.687528,,68.75,,,31.5625,19.0,29.25,18.333425,35.111916,,30.9375,
1997-10-24,,16.921875,0.147879,0.2513,,,,,29.72,,41.208539,5.677078,5.656278,,69.1875,,,31.3125,18.5625,29.15625,18.312592,35.080899,,30.875,
1997-10-27,,16.09375,0.150669,0.21354,,,,,28.86,,38.979362,5.364578,5.208359,,62.5,,,29.0,17.5625,27.5,17.000085,32.599491,,28.84375,
1997-10-28,,16.671875,0.16183,0.247393,,,,,29.86,,39.9377,5.760411,5.791696,,68.5,,,30.71875,18.21875,28.0,17.770922,34.80174,,29.65625,
1997-10-29,,16.390625,0.15625,0.269529,,,,,29.7,,40.083534,5.791661,5.843779,,67.75,,,30.15625,18.5625,28.5625,18.125091,33.809177,,30.5625,
1997-10-30,,16.078125,0.147321,0.256247,,,,,29.5,,38.583526,5.791661,5.625028,,66.0,,,30.34375,18.5,28.25,18.083424,33.436966,,29.25,
1997-10-31,,16.25,0.152065,0.254164,,,,,29.38,,38.479359,5.833327,5.963571,,67.0625,,,30.71875,19.25,28.6875,18.583426,33.747142,,29.90625,
1997-11-03,,16.765625,0.155134,0.253643,,,,,29.64,,39.562698,6.052077,5.979197,,67.0,,,31.125,19.875,29.5,19.166763,35.204969,,30.96875,
1997-11-04,,16.78125,0.160156,0.247914,,,,,29.54,,39.646032,6.062494,6.114614,,66.25,,,31.28125,19.59375,30.0625,19.125096,35.608198,,31.15625,
1997-11-05,,16.695313,0.164062,0.243748,,,,,29.4,,39.896033,6.010411,6.06253,,67.125,,,30.9375,19.4375,30.09375,19.125096,35.856338,,31.0,
1997-11-06,,16.507813,0.169643,0.233071,,,,,29.4,,40.021033,6.145827,5.895863,,66.5,,,30.625,20.53125,30.09375,19.083429,35.546162,,30.75,
1997-11-07,,16.445313,0.176339,0.223956,,,,,29.22,,39.146029,6.041661,5.822946,,65.5,,,30.0625,19.9375,29.90625,18.958428,35.204969,,30.46875,
1997-11-10,,16.273438,0.166853,0.210415,,,,,29.34,,38.021023,6.104161,5.770862,,65.125,,,29.84375,20.3125,29.84375,18.562593,35.204969,,29.875,
1997-11-11,,16.328125,0.164062,0.197394,,,,,29.24,,37.458521,6.187494,5.822946,,65.125,,,29.90625,21.03125,30.28125,18.479259,35.887356,,29.5,
1997-11-12,,16.148438,0.157366,0.18854,,,,,29.08,,35.583511,6.32291,5.416694,,63.125,,,29.4375,20.578125,29.1875,18.145924,35.57718,,29.1875,
1997-11-13,,16.445313,0.160714,0.192967,,,,,29.28,,35.750179,6.395827,5.562528,,63.625,,,29.9375,20.5625,29.96875,18.166758,36.321602,,29.71875,
1997-11-14,,16.664063,0.16462,0.208331,,,,,29.7,,34.541839,6.583327,5.739612,,66.875,,,30.46875,20.6875,31.1875,18.750094,37.159077,,30.0,
1997-11-17,,16.859375,0.165178,0.218748,,,,,30.4,,36.291848,6.63541,5.875029,,67.3125,,,30.96875,20.75,31.71875,19.291763,36.724831,,30.65625,
1997-11-18,,16.75,0.161272,0.220831,,,,,30.4,,35.750179,6.54166,5.791696,,66.25,,,31.09375,20.34375,31.5,18.770927,36.35262,,30.125,
1997-11-19,,16.882813,0.162946,0.225519,,,,,30.54,,37.125186,6.57291,5.802112,,64.0,,,31.03125,20.90625,31.5625,18.875094,37.003989,,30.4375,
1997-11-20,,17.109375,0.165178,0.229164,,,,,30.72,,37.458521,6.656243,5.864613,,64.875,,,31.34375,20.875,32.125,18.895928,37.748412,,30.71875,
1997-11-21,,17.234375,0.162388,0.224477,,,,,29.86,,37.771022,6.66666,5.833363,,65.0,,,31.96875,21.90625,32.46875,19.083429,38.089605,,31.09375,
1997-11-24,,16.9375,0.157366,0.211456,,,,,29.76,,36.66685,6.593743,5.416694,,62.5,,,31.4375,21.875,32.0625,18.791761,37.996552,,30.5625,
1997-11-25,,17.375,0.155134,0.210154,,,,,29.78,,36.479349,6.593743,5.572945,,62.0,,,30.5625,21.5,32.0,18.833428,38.585887,,30.84375,
1997-11-26,,17.695313,0.15625,0.213019,,,,,29.7,,36.083514,6.645827,5.479194,,62.25,,,30.59375,22.3125,31.34375,18.60426,37.562306,,30.0625,
1997-11-28,,17.6875,0.158482,0.206248,,,,,30.16,,36.250181,6.677077,5.552111,,63.0,,,30.5,22.15625,31.46875,18.687593,37.810447,,30.03125,
1997-12-01,,17.976563,0.158482,0.21354,,,,,30.4,,38.333525,6.812493,5.312527,,65.4375,,,30.78125,22.46875,32.34375,19.500098,38.678939,,30.6875,
1997-12-02,,17.78125,0.141741,0.211717,,,,,30.56,,38.00019,6.79166,5.062525,,65.125,,,30.59375,21.6875,32.1875,19.583431,39.237256,,30.84375,
1997-12-03,,18.085938,0.140625,0.218227,,,,,30.38,,38.250191,6.812493,5.041692,,65.125,,,31.21875,21.6875,32.25,19.958433,39.516414,,30.9375,
1997-12-04,,17.820313,0.139509,0.224998,,,,,30.6,,38.916861,6.843743,5.041692,,65.1875,,,31.15625,21.375,32.1875,19.666765,39.330309,,30.5,
