datetime,ICE,SBUX,SO,TT,CEG,DASH,AMT,PLD,MO,MMC,CME,CDNS,LMT,BMY,WM,PH,COIN,DUK,MCO,RCL,MDLZ,TDG,DELL,CTAS,INTC
1997-10-01,,2.53125,13.892813,16.87315,,,,,10.38258,25.729295,,26.78125,53.0,39.306479,39.625,30.66682,,43.6725,,21.59375,,,,6.08336375,23.3125
1997-10-02,,2.371094,14.007,16.994365,,,,,10.474191,25.958463,,26.25,53.125,39.752805,38.8125,30.916821,,44.218406,,21.5,,,,6.13544725,23.28125
1997-10-03,,2.300781,13.85475,16.8004205,,,,,10.519997,25.916796,,26.21875,53.5,40.913254,38.9375,30.875154,,43.836272,,21.875,,,,6.187531,23.328125
1997-10-06,,2.363281,13.892813,17.697413,,,,,10.581071,26.187631,,26.15625,53.875,41.270315,40.125,30.916821,,43.945453,,21.8125,,,,6.22919775,23.375
1997-10-07,,2.417969,13.892813,17.867114,,,,,10.413117,26.583466,,26.8125,53.78125,42.371253,39.625,32.583496,,44.000044,,21.84375,,,,6.25003125,23.8125
1997-10-08,,2.417969,13.626375,17.697413,,,,,10.168821,25.666795,,26.78125,53.6875,41.865417,39.875,32.833498,,43.235775,,21.90625,,,,6.16148925,23.640625
1997-10-09,,2.300781,13.740563,17.5519545,,,,,10.07721,25.39596,,27.09375,53.59375,41.24056,40.0,32.875164,,43.235775,,22.0,,,,6.19794775,23.671875
1997-10-10,,2.3125,13.930875,17.4064965,,,,,10.168821,24.979292,,27.4375,52.6875,41.032274,39.6875,33.458501,,42.962822,,22.0,,,,6.1666975,23.25
1997-10-13,,2.308594,13.968938,17.4792255,,,,,10.123016,25.145959,,28.46875,52.4375,41.151295,39.75,33.833503,,42.689869,,22.15625,,,,6.22919775,23.140625
1997-10-14,,2.347656,14.121188,17.697413,,,,,10.123016,25.062625,,28.5625,52.46875,41.41909,40.125,33.416834,,43.290366,,22.375,,,,6.333365,22.953125
1997-10-15,,2.367188,14.121188,17.2852815,,,,,10.07721,24.750124,,28.0,52.5,41.151295,40.125,33.375167,,42.744459,,22.09375,,,,6.48961575,21.671875
1997-10-16,,2.296875,14.349563,16.970122,,,,,9.985599,24.687623,,27.125,52.03125,40.943009,40.4375,32.750164,,42.853641,,22.4375,,,,6.34899,21.34375
1997-10-17,,2.359375,14.273438,16.7034485,,,,,9.924525,24.583456,,26.46875,52.5,40.585948,40.1875,31.791826,,42.689869,,22.1875,,,,6.32815675,20.75
1997-10-20,,2.402344,14.349563,16.8004205,,,,,9.939794,24.66679,,27.9375,52.25,40.883499,40.3125,32.708497,,43.508728,,22.1875,,,,6.32815675,21.015625
1997-10-21,,2.441406,14.425688,17.2610385,,,,,10.18409,25.062625,,26.0625,51.875,41.12154,40.9375,34.00017,,43.344956,,22.84375,,,,6.39586525,21.28125
1997-10-22,,2.414063,14.76825,17.5034685,,,,,10.199358,25.166793,,25.71875,49.9375,42.9366,40.5,34.00017,,43.072003,,22.8125,,,,6.479199,20.984375
1997-10-23,,2.296875,14.539875,17.11558,,,,,10.031405,24.916791,,25.0625,49.3125,42.460519,39.5,32.875164,,42.198553,,22.71875,,,,6.45836575,20.46875
1997-10-24,,2.28125,14.616,16.6307195,,,,,9.664961,24.791791,,23.71875,48.5,41.41909,37.8125,32.458496,,42.198553,,22.84375,,,,6.29169825,20.0
1997-10-27,,2.1875,14.46375,14.642791,,,,,9.100026,23.000115,,22.4375,45.96875,38.830397,35.8125,28.916811,,39.960338,,21.6875,,,,6.08336375,18.6875
1997-10-28,,2.226563,14.46375,14.4973325,,,,,9.664961,24.187621,,24.28125,46.28125,41.895172,36.375,27.833473,,41.488875,,21.84375,,,,6.08336375,21.25
1997-10-29,,2.234375,14.15925,15.8549425,,,,,9.649692,24.00012,,25.0625,47.28125,42.014192,36.5625,28.875144,,42.307734,,23.125,,,,6.04169675,20.0625
1997-10-30,,2.132813,13.778625,15.612512,,,,,9.497007,23.583451,,24.125,47.125,41.35958,36.75,29.125146,,42.471506,,22.9375,,,,5.93752975,18.9375
1997-10-31,,2.0625,13.968938,15.1034085,,,,,9.680229,23.750119,,26.625,47.53125,41.835662,37.0,28.083474,,42.362325,,23.21875,,,,6.0208635,19.25
1997-11-03,,2.089844,14.197313,15.2973525,,,,,10.153553,24.270955,,27.3125,49.5625,43.174641,37.375,27.416804,,42.744459,,23.3125,,,,6.114614,19.625
1997-11-04,,2.039063,14.15925,15.685241,,,,,10.275701,24.291788,,28.375,49.5,43.799498,37.625,27.916806,,42.307734,,23.71875,,,,6.29169825,18.984375
1997-11-05,,2.085938,13.816688,15.51554,,,,,10.138284,24.416789,,28.65625,49.15625,44.27558,37.5625,28.66681,,42.089372,,23.75,,,,6.3854485,18.65625
1997-11-06,,2.101563,13.7025,14.9579505,,,,,10.107747,24.458456,,27.5625,48.53125,43.591212,36.25,28.791811,,41.816419,,23.3125,,,,6.2396145,18.375
1997-11-07,,2.039063,13.740563,14.788249,,,,,10.092479,24.208454,,26.8125,47.59375,42.966355,36.9375,27.916806,,41.816419,,22.71875,,,,6.145864,19.359375
1997-11-10,,2.054688,13.740563,14.788249,,,,,10.031405,23.729285,,26.9375,47.03125,42.81758,36.5625,28.500143,,42.089372,,22.65625,,,,6.20836425,18.78125
