datetime,MCK,GD,ABNB,ORLY,APO,SHW,HCA,EMR,NOC,MMM,EQIX,FTNT,CI,UPS,FISV,AON,CVS,RSG,HWM,PNC,AJG,ITW,MAR,ECL,MSI
1997-10-01,51.03125,21.875,,0.38333352,,9.666657,,28.46875,54.714053,39.45228906,,,20.027377,,,36.083514,14.265625,,,49.0,9.203125,24.96875,,12.765625,88.309877
1997-10-02,51.71875,21.546875,,0.40833354,,9.645824,,28.25,55.366085,39.76581719,,,19.110729,,,36.625183,13.96875,,,49.5625,9.203125,25.5625,,12.796875,86.075159
1997-10-03,52.125,21.921875,,0.40416687,,9.74999,,28.46875,55.281038,39.68743516,,,19.360724,,,37.208519,14.203125,,,50.0625,9.25,25.3125,,12.75,89.00341
1997-10-06,52.3125,21.984375,,0.39583353,,9.895823,,28.25,55.592879,40.1316,,,19.555164,,,37.916856,13.96875,,,52.125,9.375,25.9375,,12.71875,87.539285
1997-10-07,53.5625,22.0,,0.40416687,,9.895823,,28.6875,55.337736,41.33345781,,,19.909324,,,38.833528,14.5,,,51.9375,9.484375,26.0625,,12.65625,90.236358
1997-10-08,54.28125,21.796875,,0.41666688,,9.708324,,28.125,55.252688,40.967675,,,19.624608,,,38.375192,14.265625,,,51.5,9.53125,25.84375,,12.4375,91.700483
1997-10-09,54.5625,21.96875,,0.42291688,,9.74999,,27.84375,55.224339,40.34061875,,,19.749605,,,37.666855,14.1875,,,52.0,9.484375,25.8125,,12.78125,92.085779
1997-10-10,54.625,21.96875,,0.42708355,,9.87499,,27.75,54.543957,40.05321797,,,19.444056,,,37.416854,14.484375,,,50.75,9.46875,25.53125,,12.703125,91.238128
1997-10-13,54.71875,21.84375,,0.42083354,,9.99999,,27.75,54.458909,40.31449141,,,19.207949,,,37.833523,14.625,,,51.375,9.484375,25.40625,,12.796875,91.546365
1997-10-14,54.875,22.203125,,0.43125022,,9.93749,,28.4375,54.629005,41.22894844,,,18.99962,,,37.916856,14.875,,,51.9375,9.5625,25.65625,,12.9375,89.465765
1997-10-15,55.03125,21.828125,,0.43750022,,9.791657,,28.25,54.203766,40.81091094,,,18.888511,,,37.625188,14.546875,,,51.6875,9.5,25.78125,,12.609375,86.922811
1997-10-16,54.9375,21.65625,,0.42916688,,9.62499,,28.21875,54.090369,39.94870859,,,18.777402,,,37.041852,14.28125,,,51.0625,9.453125,25.21875,,12.640625,86.152218
1997-10-17,53.9375,21.421875,,0.41875021,,9.333324,,27.6875,54.600656,39.45228906,,,18.680182,,,36.750184,14.1875,,,49.9375,9.203125,25.34375,,12.546875,84.765152
1997-10-20,53.78125,21.15625,,0.41250021,,9.666657,,27.96875,54.629005,39.21714297,,,18.492686,,,37.625188,14.125,,,50.875,9.359375,25.53125,,12.5,85.921041
1997-10-21,53.90625,21.0,,0.42500021,,9.645824,,28.1875,54.317163,39.55679844,,,18.805179,,,38.00019,14.25,,,51.5,9.375,26.125,,12.6875,84.611034
1997-10-22,54.71875,20.75,,0.41041687,,9.583324,,28.0625,52.446113,41.96051406,,,18.714903,,,37.375187,14.859375,,,50.3125,9.265625,25.78125,,12.5,83.99456
1997-10-23,54.0,20.578125,,0.39166686,,9.458324,,27.53125,51.42554,41.54247656,,,18.777402,,,36.833518,14.875,,,49.875,8.84375,25.3125,,12.296875,80.603954
1997-10-24,53.15625,20.5,,0.3937502,,9.583324,,27.40625,50.66011,40.02709063,,,18.819068,,,36.791851,15.1875,,,48.875,8.921875,25.53125,,12.3125,78.600414
1997-10-27,50.375,19.65625,,0.36250018,,8.999991,,25.84375,47.343248,38.56395938,,,18.117693,,,34.750174,14.40625,,,44.3125,8.828125,24.5,,12.03125,72.743913
1997-10-28,50.875,20.34375,,0.37916686,,9.437491,,25.90625,47.910233,39.26939766,,,17.763534,,,36.625183,14.734375,,,47.875,8.859375,24.5,,12.0,76.98217
1997-10-29,53.0,20.140625,,0.3937502,,9.291657,,26.53125,49.185949,39.06037891,,,17.638536,,,36.833518,15.015625,,,48.5,8.84375,24.46875,,11.953125,75.903341
1997-10-30,52.625,20.25,,0.40833354,,9.187491,,26.40625,49.044203,38.51170469,,,17.485761,,,35.750179,14.90625,,,46.9375,8.875,24.125,,11.875,71.742143
1997-10-31,53.65625,20.34375,,0.4062502,,9.249991,,26.21875,49.554489,38.25043125,,,17.249655,,,35.958513,15.328125,,,47.5,8.75,24.59375,,11.890625,76.442756
1997-11-03,54.46875,20.46875,,0.38958353,,9.520824,,26.9375,51.368841,38.53783203,,,17.388541,,,36.750184,15.796875,,,48.375,9.125,25.46875,,12.171875,78.446296
1997-11-04,53.875,20.546875,,0.39791687,,9.479157,,27.78125,51.765731,38.82523281,,,17.832977,,,36.875184,15.890625,,,48.0625,9.03125,25.71875,,12.203125,79.756302
1997-11-05,54.53125,20.546875,,0.40416687,,9.479157,,28.09375,51.42554,38.8774875,,,17.985751,,,36.791851,16.390625,,,48.5625,9.09375,25.875,,12.109375,79.602184
1997-11-06,55.25,20.625,,0.40416687,,9.520824,,27.5625,50.603411,38.98199688,,,17.777422,,,36.583516,16.21875,,,48.75,9.015625,26.46875,,12.1875,77.752762
1997-11-07,54.21875,20.640625,,0.40833354,,9.437491,,27.3125,49.554489,38.8774875,,,17.395485,,,35.875179,15.9375,,,48.0625,8.890625,26.5,,12.03125,76.750992
1997-11-10,53.46875,20.75,,0.41666688,,9.374991,,27.125,49.044203,39.295525,,,17.35382,,,35.625178,15.71875,,,47.125,9.0,26.03125,,12.03125,76.057459
1997-11-11,52.28125,21.03125,,0.4093752,,9.499991,,27.0,48.448868,40.23610938,,,17.45104,,,35.291843,15.9375,,,47.1875,8.9375,25.46875,,12.078125,77.059229
1997-11-12,52.46875,20.859375,,0.40833354,,9.479157,,26.03125,47.796836,39.89645391,,,17.214933,,,34.250171,15.625,,,46.5,8.65625,25.21875,,12.15625,75.595104
1997-11-13,54.34375,20.5625,,0.40520854,,9.499991,,25.78125,47.966931,39.73968984,,,17.069103,,,34.66684,15.25,,,47.0625,8.796875,25.625,,12.296875,77.367466
1997-11-14,56.09375,20.75,,0.40833354,,9.333324,,25.90625,48.39217,39.60905313,,,17.832977,,,34.708507,16.03125,,,47.6875,8.734375,25.46875,,12.21875,79.602184
1997-11-17,56.0,21.15625,,0.4000002,,9.604157,,26.46875,48.533916,39.66130781,,,18.319078,,,35.291843,16.015625,,,49.0,8.9375,26.09375,,12.375,81.682783
1997-11-18,56.1875,20.890625,,0.40416687,,9.541657,,25.78125,48.137027,39.34777969,,,18.284357,,,34.583506,16.21875,,,49.5625,8.859375,25.5625,,12.265625,78.831592
1997-11-19,56.1875,20.984375,,0.39583353,,9.395824,,26.46875,48.137027,39.42616172,,,18.332967,,,35.250176,16.15625,,,50.8125,8.8125,26.03125,,12.40625,78.215118
1997-11-20,55.6875,21.21875,,0.39583353,,9.333324,,27.0,48.080328,40.49738281,,,18.812124,,,35.208509,16.3125,,,52.5,8.78125,26.90625,,12.515625,81.066309
1997-11-21,55.5,21.75,,0.39583353,,9.270824,,27.09375,48.448868,40.44512813,,,18.721848,,,35.000175,16.25,,,52.5,8.828125,26.90625,,12.640625,82.761612
1997-11-24,54.4375,21.140625,,0.39583353,,9.083324,,27.0625,48.533916,40.00096328,,,18.305189,,,34.583506,16.0625,,,51.0625,8.84375,26.8125,,12.484375,79.139829
1997-11-25,54.28125,21.109375,,0.4000002,,9.312491,,27.65625,48.874107,40.65414688,,,18.270468,,,34.66684,15.8125,,,52.375,8.8125,26.84375,,12.703125,79.910421
1997-11-26,55.25,21.421875,,0.39583353,,9.479157,,27.5625,50.404967,40.65414688,,,18.506574,,,35.166843,16.078125,,,53.5625,8.875,27.0,,12.6875,78.215118
1997-11-28,55.9375,21.75,,0.3937502,,9.520824,,27.5,51.085349,40.73252891,,,18.582962,,,35.250176,16.625,,,53.8125,8.9375,27.40625,,12.75,77.521585
1997-12-01,55.59375,21.703125,,0.40833354,,9.645824,,28.78125,51.085349,41.22894844,,,19.117673,,,35.958513,17.234375,,,56.875,9.0,28.15625,,12.8125,81.836902
1997-12-02,55.375,21.375,,0.40833354,,9.729157,,28.875,50.66011,41.09831172,,,19.082952,,,36.00018,16.890625,,,56.9375,9.0,28.0,,13.0,78.446296
1997-12-03,56.4375,21.1875,,0.40520854,,9.68749,,28.65625,50.064776,40.26223672,,,19.374613,,,35.916846,16.59375,,,57.625,8.96875,27.5,,13.046875,79.833362
1997-12-04,56.15625,21.171875,,0.40416687,,9.708324,,28.125,50.178173,40.52351016,,,19.638496,,,36.208514,16.375,,,57.25,9.0,27.4375,,13.203125,76.673933
1997-12-05,56.0,21.734375,,0.41458354,,9.87499,,28.3125,50.546713,40.36674609,,,19.666273,,,36.625183,16.21875,,,58.125,8.90625,28.03125,,13.328125,76.905111
1997-12-08,55.03125,21.765625,,0.41666688,,9.791657,,28.125,50.801856,40.1316,,,19.666273,,,36.791851,16.125,,,57.45312,8.90625,27.46875,,13.28125,77.906881
1997-12-09,53.59375,21.75,,0.42291688,,9.770824,,28.3125,50.858555,39.50454375,,,19.582942,,,36.500183,16.046875,,,57.75,8.921875,27.5,,13.1875,76.596874
1997-12-10,53.5,21.703125,,0.41666688,,9.74999,,28.09375,51.283793,39.24327031,,,18.805179,,,36.625183,16.3125,,,57.375,8.9375,27.4375,,13.28125,73.822742
1997-12-11,52.28125,21.28125,,0.41666688,,9.708324,,27.875,51.340492,38.82523281,,,18.013529,,,36.333515,16.6875,,,57.3125,8.84375,27.28125,,13.265625,69.430366
1997-12-12,52.40625,21.734375,,0.41666688,,9.583324,,28.0625,51.964175,38.61621406,,,17.777422,,,36.541849,16.453125,,,56.5625,9.0,27.375,,13.390625,68.890951
1997-12-15,52.8125,21.546875,,0.4093752,,9.74999,,28.125,51.822429,38.74685078,,,17.957974,,,36.708517,16.390625,,,58.125,8.921875,27.8125,,13.328125,71.433906
1997-12-16,52.625,21.828125,,0.40833354,,9.770824,,28.28125,50.093125,39.24327031,,,18.319078,,,36.791851,15.875,,,57.625,8.96875,28.21875,,13.546875,69.353306
1997-12-17,50.9375,21.671875,,0.41666688,,9.541657,,28.25,51.170396,35.48093281,,,18.117693,,,36.416849,15.5,,,58.0,8.984375,28.71875,,13.515625,66.810352
1997-12-18,49.34375,21.328125,,0.40104187,,8.666658,,28.15625,50.66011,35.92509766,,,17.749645,,,36.541849,15.328125,,,56.5625,8.96875,28.375,,13.453125,68.813892
1997-12-19,49.375,21.21875,,0.39791687,,8.979158,,28.375,49.866331,34.95838594,,,17.603815,,,36.750184,15.0,,,56.375,8.84375,28.25,,13.53125,71.819202
1997-12-22,49.9375,21.0,,0.39166686,,8.645825,,27.9375,50.036426,35.21965938,,,18.305189,,,37.708522,15.1875,,,56.0,8.640625,28.3125,,13.5,71.433906
1997-12-23,50.28125,20.640625,,0.3968752,,8.437492,,28.0,49.100901,34.90613125,,,18.423243,,,37.375187,15.078125,,,55.3125,8.75,28.25,,13.5625,68.890951
1997-12-24,49.75,20.65625,,0.3968752,,8.520825,,27.65625,49.441092,35.21965938,,,18.485741,,,37.166853,15.0,,,54.125,8.75,28.125,,13.4375,68.428596
1997-12-26,49.6875,20.90625,,0.39895853,,8.687491,,27.375,49.441092,34.93225859,,,18.485741,,,37.33352,14.90625,,,54.5,8.734375,28.15625,,13.453125,69.04507
1997-12-29,51.125,21.25,,0.4666669,,8.687491,,27.65625,50.745158,34.72323984,,,18.888511,,,38.00019,15.296875,,,55.875,8.640625,28.8125,,13.609375,69.122129
1997-12-30,52.65625,21.328125,,0.44895856,,9.041658,,28.28125,51.595635,34.74936719,,,19.173228,,,38.125191,16.375,,,56.1875,8.703125,29.6875,,13.90625,70.432136
1997-12-31,54.1875,21.6875,,0.43750022,,9.249991,,28.21875,52.16262,34.30520234,,,19.152395,,,39.083529,16.015625,,,56.9375,8.609375,30.0625,,13.859375,70.509195
1998-01-02,53.25,21.453125,,0.41250021,,9.291657,,28.28125,52.134271,34.90613125,,,19.14545,,,38.750194,15.921875,,,56.375,8.546875,29.75,,13.890625,71.665083
1998-01-05,52.75,21.765625,,0.42708355,,9.229157,,28.625,52.616208,34.85387656,,,19.131562,,,38.375192,16.40625,,,56.625,8.609375,29.6875,,14.015625,73.360386
1998-01-06,51.75,21.71875,,0.4604169,,9.437491,,28.34375,52.701256,34.95838594,,,19.117673,,,38.750194,15.734375,,,55.125,8.578125,29.28125,,13.890625,72.435676
1998-01-07,51.5,21.75,,0.46250023,,9.333324,,28.625,55.56453,35.24578672,,,18.860734,,,38.875194,15.8125,,,53.875,8.5625,28.84375,,13.859375,71.819202
1998-01-08,52.0625,21.59375,,0.4666669,,8.999991,,28.6875,54.43056,34.82774922,,,18.944066,,,38.166858,15.578125,,,52.375,8.453125,27.84375,,13.75,71.202728
1998-01-09,50.625,21.25,,0.45104189,,8.833325,,28.375,53.239892,34.54034844,,,18.895455,,,36.66685,15.546875,,,50.9375,8.46875,26.78125,,13.59375,68.428596
1998-01-12,49.9375,21.546875,,0.45000023,,8.895824,,28.9375,53.239892,34.61873047,,,19.062119,,,37.33352,15.75,,,50.5625,8.4375,26.65625,,13.546875,67.195648
1998-01-13,50.6875,21.734375,,0.45208356,,8.916658,,29.40625,53.353289,35.16740469,,,19.124618,,,37.666855,15.75,,,52.1875,8.53125,26.3125,,13.53125,70.894491
1998-01-14,52.0625,21.40625,,0.47395857,,9.041658,,30.40625,53.324939,35.14127734,,,19.173228,,,37.125186,16.25,,,52.8125,8.5,27.8125,,13.53125,70.200958
1998-01-15,52.8125,21.328125,,0.4697919,,9.062491,,30.84375,53.069796,34.48809375,,,18.95101,,,36.625183,16.125,,,51.8125,8.4375,27.4375,,13.421875,68.890951
1998-01-16,51.75,21.28125,,0.47916691,,9.104158,,30.96875,53.183193,34.80162188,,,18.957954,,,37.250186,16.40625,,,52.1875,8.4845,27.875,,13.90625,69.199188
1998-01-20,51.25,21.328125,,0.48125024,,9.062491,,31.34375,53.466686,34.80162188,,,19.54822,,,38.208524,16.8125,,,52.375,8.734375,28.96875,,13.8125,70.817432
1998-01-21,51.25,21.15625,,0.46250023,,8.916658,,31.125,54.402211,34.43583906,,,19.464888,,,37.375187,16.421875,,,51.3125,8.75,28.21875,,13.78125,71.279787
1998-01-22,52.0625,21.4375,,0.43750022,,8.916658,,31.21875,55.337736,33.75652813,,,19.624608,,,37.416854,16.328125,,,51.0,8.921875,28.0625,,13.84375,69.738603
1998-01-23,50.375,21.125,,0.43437522,,8.770825,,31.0625,55.337736,34.09618359,,,19.388501,,,36.708517,16.15625,,,50.125,9.1875,28.03125,,13.6875,68.120359
1998-01-26,50.3125,21.75,,0.43854189,,8.979158,,30.46875,55.904721,34.279075,,,19.471833,,,36.541849,16.09375,,,49.9375,8.96875,28.03125,,13.6875,69.892721
1998-01-27,49.625,21.6875,,0.43125022,,9.333324,,30.84375,56.159864,33.67814609,,,19.40239,,,37.125186,16.21875,,,51.1875,9.21875,28.1875,,13.65625,70.123899
1998-01-28,50.375,21.265625,,0.43333355,,9.541657,,30.8125,56.500055,35.32416875,,,19.444056,,,37.125186,16.546875,,,51.5625,9.28125,28.28125,,13.59375,73.822742
1998-01-29,49.1875,21.34375,,0.43958355,,9.666657,,30.3125,56.159864,35.66382422,,,19.249615,,,37.458521,16.453125,,,52.5625,9.203125,28.65625,,13.5,73.899801
1998-01-30,47.875,21.65625,,0.42291688,,9.541657,,30.25,55.621229,34.90613125,,,18.839901,,,37.208519,16.390625,,,51.5625,9.25,27.8125,,13.6875,73.437446
1998-02-02,51.75,22.109375,,0.42916688,,9.62499,,30.8125,57.208787,36.31700781,,,18.888511,,,37.916856,16.890625,,,53.0625,9.578125,28.5,,13.8125,76.596874
1998-02-03,51.625,22.09375,,0.43333355,,9.791657,,30.625,57.46393,36.94406406,,,19.263504,,,37.750189,17.015625,,,54.8125,9.796875,28.46875,,13.875,79.679243
1998-02-04,50.4375,21.859375,,0.44583356,,9.708324,,30.84375,58.853043,36.70891797,,,19.395445,,,37.833523,17.140625,,,54.5625,9.71875,28.125,,13.625,79.833362
1998-02-05,51.6875,21.859375,,0.45208356,,9.604157,,31.0625,58.371106,36.57828125,,,19.749605,,,37.291853,17.171875,,,54.5625,9.78125,28.125,,13.71875,79.216888
1998-02-06,53.0,21.96875,,0.45833356,,9.68749,,31.96875,58.938091,36.60440859,,,19.944046,,,37.541854,17.640625,,,55.4375,9.625,28.25,,13.8125,78.292177
1998-02-09,53.3125,22.125,,0.46250023,,9.81249,,32.40625,58.5979,36.42151719,,,20.013489,,,37.500188,17.515625,,,55.1875,9.875,28.0,,13.84375,77.752762
1998-02-10,53.5625,22.25,,0.47083357,,10.104157,,31.875,59.618473,35.951225,,,20.013489,,,38.125191,17.609375,,,55.0,9.78125,27.90625,,14.09375,80.064539
1998-02-11,54.3125,21.9375,,0.47916691,,10.041657,,31.96875,58.994789,36.73504531,,,19.944046,,,37.500188,18.265625,,,54.9375,9.78125,28.03125,,14.0625,75.9804
1998-02-12,55.3125,21.890625,,0.4729169,,10.12499,,31.90625,59.36333,37.07470078,,,19.916268,,,37.708522,18.609375,,,54.625,9.796875,28.5,,14.0625,76.057459
1998-02-13,55.625,21.984375,,0.48125024,,10.083323,,31.53125,59.448377,36.7873,,,19.916268,,,37.33352,18.265625,,,54.125,9.859375,28.28125,,13.96875,75.595104
1998-02-17,55.25,22.1875,,0.49375025,,10.31249,,31.75,59.079837,36.83955469,,,19.812104,,,37.500188,18.5,,,54.625,9.796875,28.4375,,14.15625,75.363926
1998-02-18,55.4375,22.21875,,0.4666669,,10.520823,,31.8125,59.051488,36.73504531,,,19.770438,,,38.00019,18.546875,,,55.5,9.84375,28.59375,,14.125,75.749223
1998-02-19,56.6875,21.875,,0.43958355,,10.520823,,31.5,59.193234,36.57828125,,,19.721828,,,38.083524,18.09375,,,54.875,9.4375,28.21875,,13.90625,75.209808
