datetime,WMB,USB,BK,CL,NEM,PYPL,JCI,ZTS,VST,EOG,ELV,CSX,APD,ADSK,AZO,HLT,WDAY,NSC,KMI,TEL,CARR,PWR,DLR,REGN,ROP
1997-09-30,,,,,,,,,,,,,,,,,,,,,,,,11.1875,
1997-10-01,17.300251,15.160229,25.901306,17.34375,44.4375,,14.946416,,,5.5625,,3.27427,38.251372,11.265625,30.875,,,34.291324,,,,,,10.0,16.5625
1997-10-02,17.604585,15.242398,26.066916,17.46875,44.875,,14.957637,,,5.578125,,3.29163,37.904683,11.65625,31.0,,,34.353823,,,,,,10.5,16.5625
1997-10-03,17.90892,15.447821,26.4975,17.75,44.9375,,14.845427,,,5.65625,,3.295103,38.020246,12.5,30.5625,,,34.020493,,,,,,10.875,16.09375
1997-10-06,17.90892,15.653244,27.193059,18.34375,44.25,,15.148395,,,5.78125,,3.302047,38.020246,12.0625,30.8125,,,34.103826,,,,,,11.1875,16.71875
1997-10-07,17.88551,15.653244,27.491156,18.34375,44.25,,15.518689,,,5.765625,,3.368019,37.442431,12.46875,30.5625,,,34.728819,,,,,,11.5,16.75
1997-10-08,17.698227,15.61216,27.193059,18.421875,45.0625,,15.024963,,,5.71875,,3.308991,36.575708,12.359375,31.75,,,34.041326,,,,,,11.9375,16.0625
1997-10-09,17.698227,15.653244,26.762475,18.125,43.75,,14.968858,,,5.65625,,3.267325,36.864615,12.46875,32.3125,,,33.395499,,,,,,13.0,16.25
1997-10-10,17.698227,15.61216,26.365013,18.203125,44.5,,14.856648,,,5.625,,3.284686,36.691271,12.34375,32.0625,,,33.4375,,,,,,12.625,16.5
1997-10-13,17.88551,15.61216,26.663109,18.390625,44.5,,14.968858,,,5.59375,,3.260381,36.66238,12.34375,32.125,,,33.75,,,,,,11.75,16.65625
1997-10-14,17.838689,15.694329,26.729353,18.390625,44.1875,,15.170837,,,5.53125,,3.277742,36.633489,12.28125,32.5625,,,33.75,,,,,,12.5,16.65625
1997-10-15,18.143024,16.043548,26.298769,17.953125,43.5,,15.081068,,,5.5,,3.281214,36.315691,12.09375,32.3125,,,33.5,,,,,,12.375,16.25
1997-10-16,18.353717,16.228429,26.4975,18.203125,43.125,,14.912753,,,5.484375,,3.249964,36.055674,11.929688,32.0,,,32.9375,,,,,,11.625,15.84375
1997-10-17,18.025972,16.002464,26.133159,18.28125,42.0625,,14.755658,,,5.40625,,3.218715,35.477859,11.65625,31.875,,,32.75,,,,,,11.375,15.0625
1997-10-20,18.260075,16.269514,25.96755,18.171875,41.5625,,14.901532,,,5.609375,,3.138854,34.553354,11.625,31.375,,,33.25,,,,,,10.75,16.15625
1997-10-21,19.126258,16.762529,27.159938,18.625,42.8125,,14.811764,,,5.65625,,3.24302,36.084565,11.515625,31.6875,,,33.875,,,,,,11.5,16.78125
1997-10-22,19.477414,16.783072,26.629988,18.5625,44.0,,14.980079,,,5.71875,,3.21177,35.940111,11.65625,31.375,,,34.125,,,,,,11.8125,16.28125
1997-10-23,19.477414,16.495479,26.100038,18.0625,44.9375,,14.901532,,,5.5625,,3.145799,35.940111,11.09375,31.375,,,33.5,,,,,,11.5,16.0
1997-10-24,19.477414,16.598191,26.100038,17.90625,41.5625,,14.564901,,,5.71875,,3.090244,34.668917,10.375,31.0625,,,33.0625,,,,,,11.125,15.9375
1997-10-27,18.915565,15.858667,24.3777,16.875,34.625,,13.016398,,,5.296875,,2.874968,34.524463,8.1875,28.4375,,,30.0,,,,,,10.375,14.5625
1997-10-28,19.360362,15.673787,25.404478,17.59375,35.9375,,14.138502,,,5.171875,,2.892329,34.206665,9.15625,30.4375,,,32.5,,,,,,10.625,14.5
1997-10-29,19.149669,16.310598,25.271991,17.3125,35.1875,,13.667218,,,5.28125,,3.024272,34.611136,9.046875,29.8125,,,31.9375,,,,,,10.75,13.625
1997-10-30,19.126258,16.043548,25.106381,16.984375,36.25,,13.644776,,,5.109375,,2.999967,34.668917,9.0,29.25,,,31.5625,,,,,,10.5,13.03125
1997-10-31,19.079438,16.125718,24.940772,16.1875,35.0,,13.644776,,,5.265625,,3.055522,35.131169,9.25,29.5625,,,32.125,,,,,,10.4375,13.375
1997-11-03,19.290131,16.310598,25.603209,16.3125,35.125,,13.958965,,,5.328125,,3.10066,35.680094,9.414063,30.8125,,,32.625,,,,,,11.0,14.125
1997-11-04,19.149669,16.228429,25.768819,15.9375,35.0625,,13.914081,,,5.28125,,3.045105,35.477859,9.375,30.5625,,,32.1875,,,,,,10.9375,14.0
1997-11-05,19.173079,16.084633,25.934428,16.40625,34.625,,14.138502,,,5.28125,,3.017328,36.200128,9.578125,30.6875,,,31.75,,,,,,11.375,14.0
1997-11-06,19.2199,16.207887,26.000672,16.125,34.125,,13.958965,,,5.1875,,2.97219,37.009069,9.625,29.9375,,,31.0625,,,,,,11.0,13.71875
1997-11-07,19.149669,16.187345,25.470722,15.640625,33.0,,13.420355,,,5.078125,,2.937468,36.835724,9.40625,28.1875,,,30.9375,,,,,,10.375,13.28125
1997-11-10,19.149669,16.105175,25.073259,15.609375,32.0625,,13.734544,,,5.203125,,2.965245,35.362295,9.65625,27.1875,,,31.5,,,,,,10.875,13.6875
1997-11-11,19.149669,15.817583,25.305113,15.765625,32.1875,,13.734544,,,5.046875,,2.975662,35.680094,9.578125,28.75,,,31.75,,,,,,10.6875,14.125
1997-11-12,19.032617,15.509448,24.510188,15.5625,30.9375,,12.993956,,,4.953125,,2.954829,35.304514,8.59375,28.125,,,30.375,,,,,,10.375,14.0625
