datetime,DDOG,ALL,PSX,PSA,LHX,GWW,CMI,GM,D,CTVA,AMP,SQ,CBRE,CCI,TGT,EW,KR,AIG,IDXX,KDP,ROST,BKR,CPRT,EXC
1997-10-01,,40.5,,29.875,19.038294,44.75,19.9375,,19.09375,,,,,,15.015625,,7.546875,667.453367,4.21875,,2.25,30.8,0.179037,8.423128
1997-10-02,,40.71875,,29.6875,19.090814,45.03125,19.8125,,19.03125,,,,,,15.21875,,7.609375,666.273426,4.671875,,2.292969,31.15,0.180665,8.489978
1997-10-03,,41.1875,,29.5,18.749437,44.59375,20.0,,19.0625,,,,,,15.40625,,7.71875,676.892896,4.75,,2.3125,31.15,0.180339,8.400844
1997-10-06,,41.5625,,30.3125,19.064554,44.75,20.390625,,19.03125,,,,,,15.578125,,7.953125,682.792602,4.78125,,2.375,31.45625,0.182293,8.378561
1997-10-07,,41.625,,30.0,18.591879,45.3125,20.40625,,19.40625,,,,,,15.03125,,8.0,694.1987,4.96875,,2.320313,32.15625,0.186199,8.311711
1997-10-08,,41.0,,30.0625,18.723178,44.5625,20.140625,,19.0,,,,,,15.0,,7.9375,686.332425,5.1875,,2.375,31.54375,0.186199,8.088876
1997-10-09,,41.59375,,29.625,19.353411,44.4375,20.109375,,18.71875,,,,,,14.984375,,8.0,679.646092,5.25,,2.34375,32.9,0.18685,7.999743
1997-10-10,,41.6875,,29.9375,19.379671,44.5,19.703125,,19.0625,,,,,,15.046875,,8.234375,670.599877,5.03125,,2.359375,33.90625,0.184897,8.022026
1997-10-13,,41.40625,,29.4375,19.274632,44.1875,20.015625,,19.09375,,,,,,14.859375,,8.234375,687.512367,4.90625,,2.359375,33.5125,0.177084,7.955176
1997-10-14,,41.40625,,29.3125,20.009904,45.125,19.90625,,19.125,,,,,,14.90625,,8.0625,697.345209,4.75,,2.347656,32.76875,0.179688,8.066593
1997-10-15,,41.46875,,29.125,20.167462,45.09375,18.109375,,18.96875,,,,,,15.015625,,8.0625,694.1987,4.53125,,2.320313,32.9,0.178386,7.932893
1997-10-16,,41.3125,,29.0625,20.430059,45.09375,17.25,,18.90625,,,,,,14.875,,8.1875,684.759171,4.4375,,2.289063,31.85,0.17448,7.977459
1997-10-17,,40.59375,,28.375,19.852345,44.65625,16.796875,,19.0,,,,,,14.59375,,7.859375,678.072838,4.515625,,2.251953,31.5875,0.166668,8.04431
1997-10-20,,40.78125,,28.625,20.062423,45.3125,16.84375,,19.1875,,,,,,14.75,,7.984375,695.771955,4.515625,,2.289063,33.29375,0.17155,8.24486
1997-10-21,,42.625,,28.75,20.535098,46.09375,16.40625,,19.28125,,,,,,15.1875,,8.015625,701.67166,4.453125,,2.316406,33.46875,0.175131,8.423128
1997-10-22,,42.71875,,28.4375,20.32502,45.9375,16.59375,,19.15625,,,,,,15.3125,,8.203125,704.424856,4.3125,,2.304688,32.9,0.178386,8.423128
1997-10-23,,42.15625,,28.125,19.642268,45.96875,16.015625,,18.78125,,,,,,15.0625,,8.09375,671.386504,4.15625,,2.328125,32.4625,0.177084,8.311711
1997-10-24,,42.375,,28.6875,19.248372,45.84375,15.84375,,18.6875,,,,,,14.96875,,8.109375,656.04727,4.15625,,2.242188,32.06875,0.179688,8.155727
1997-10-27,,40.25,,28.5,17.699049,43.875,14.71875,,18.0625,,,,,,13.09375,,7.546875,626.155428,3.84375,,2.171875,29.18125,0.171876,7.932893
1997-10-28,,42.125,,28.0,18.880736,44.75,15.421875,,18.21875,,,,,,15.03125,,7.59375,645.4278,3.859375,,2.238281,30.31875,0.184897,8.088876
1997-10-29,,42.0625,,28.5625,18.749437,44.3125,15.265625,,18.46875,,,,,,15.25,,7.859375,654.474015,4.0625,,2.324219,31.5,0.186199,7.977459
1997-10-30,,41.25,,27.8125,18.355542,44.0,15.140625,,18.59375,,,,,,15.5625,,7.984375,637.168212,4.0,,2.296875,31.71875,0.180339,7.977459
1997-10-31,,41.46875,,27.5,18.329282,43.71875,15.234375,,18.59375,,,,,,15.75,,8.15625,642.28129,3.96875,,2.335938,32.15625,0.18099,8.11116
1997-11-03,,42.4375,,28.0,18.723178,44.25,15.25,,18.65625,,,,,,16.625,,8.171875,655.260642,4.015625,,2.40625,33.6,0.175782,8.155727
1997-11-04,,42.0625,,27.5,19.143333,45.28125,15.703125,,18.5,,,,,,16.453125,,8.0625,648.574309,4.015625,,2.429688,33.64375,0.17448,8.17801
1997-11-05,,42.25,,27.5625,19.43219,45.40625,15.5625,,18.5625,,,,,,16.375,,8.1875,655.653956,4.0,,2.429688,34.3,0.17448,8.17801
1997-11-06,,41.8125,,27.3125,18.906996,45.125,15.53125,,18.40625,,,,,,17.1875,,8.6875,643.854545,4.0625,,2.496094,33.90625,0.175782,8.066593
1997-11-07,,41.4375,,27.375,18.381801,45.0625,15.125,,18.3125,,,,,,16.5625,,8.390625,633.235075,4.0,,2.390625,32.9875,0.16797,8.022026
1997-11-10,,41.1875,,26.875,18.224243,45.53125,15.359375,,18.5,,,,,,16.71875,,8.59375,629.301937,4.09375,,2.328125,32.94375,0.169272,8.088876
1997-11-11,,41.0,,26.9375,18.696918,45.03125,15.28125,,18.71875,,,,,,16.65625,,8.5,627.728683,4.125,,2.382813,32.55,0.169272,8.200293
1997-11-12,,40.34375,,26.5,18.250503,44.78125,14.875,,18.5,,,,,,16.421875,,8.421875,617.109212,4.0,,2.328125,32.025,0.164063,8.088876
1997-11-13,,40.625,,28.1875,18.408061,45.25,15.234375,,18.53125,,,,,,16.203125,,8.53125,616.715899,4.03125,,2.328125,31.325,0.164063,8.088876
1997-11-14,,41.0,,27.8125,18.749437,45.25,15.28125,,18.71875,,,,,,16.25,,8.421875,622.615604,4.0625,,2.492188,32.15625,0.173178,8.11116
1997-11-17,,42.25,,28.0,19.300891,46.1875,15.453125,,19.125,,,,,,16.6875,,8.609375,645.821113,4.011717,,2.589844,31.9375,0.178386,8.222577
1997-11-18,,41.46875,,27.5,19.090814,45.875,15.328125,,18.9375,,,,,,16.71875,,8.625,641.887976,3.953125,,2.613281,30.275,0.179037,8.333994
1997-11-19,,41.5625,,27.4375,18.906996,46.6875,15.265625,,19.125,,,,,,17.234375,,8.796875,652.114133,3.96875,,2.578125,29.575,0.179363,8.445411
1997-11-20,,42.21875,,27.5,19.117073,47.4375,15.390625,,19.34375,,,,,,17.375,,8.9375,658.800466,4.03125,,2.59375,30.84375,0.18099,8.556828
1997-11-21,,42.96875,,27.5,19.143333,46.71875,15.578125,,19.375,,,,,,17.34375,,8.96875,665.880113,4.15625,,2.574219,30.625,0.18099,8.556828
1997-11-24,,42.09375,,27.5,19.012035,46.46875,15.9375,,19.5,,,,,,17.1875,,8.921875,641.887976,3.9375,,2.519531,29.4875,0.180339,8.556828
1997-11-25,,41.75,,27.625,19.327151,46.5625,15.90625,,19.25,,,,,,16.96875,,8.96875,631.66182,4.03125,,2.402344,29.4,0.18099,8.735095
1997-11-26,,42.4375,,28.0,20.246241,46.65625,15.90625,,19.28125,,,,,,16.765625,,8.515625,635.988271,4.0625,,2.414063,29.35625,0.181642,8.668245
1997-11-28,,42.9375,,27.625,19.931125,46.8125,16.09375,,19.4375,,,,,,16.609375,,8.609375,634.415016,3.984375,,2.4375,29.3125,0.181642,8.668245
1997-12-01,,44.8125,,28.125,20.114943,47.4375,16.390625,,19.78125,,,,,,17.890625,,9.0625,668.633309,3.960938,,2.515625,28.56875,0.175782,8.913363
1997-12-02,,45.0,,27.9375,19.45845,47.59375,16.5,,19.53125,,,,,,18.1875,,9.21875,666.66674,3.984375,,2.5625,29.4,0.182293,8.846512
1997-12-03,,44.65625,,27.8125,19.957384,47.96875,16.828125,,19.40625,,,,,,18.03125,,9.21875,667.060054,3.953125,,2.554688,30.5375,0.182293,8.824229
1997-12-04,,44.9375,,27.625,19.773566,48.3125,16.328125,,19.28125,,,,,,17.984375,,9.0625,674.1397,3.953125,,2.460938,29.79375,0.18099,8.735095
1997-12-05,,46.21875,,27.625,19.45845,48.5625,16.546875,,19.375,,,,,,18.125,,9.0625,676.499583,3.9375,,2.46875,31.15,0.182944,8.801945
1997-12-08,,46.1875,,27.625,19.931125,48.9375,16.53125,,19.46875,,,,,,17.90625,,8.96875,670.206563,3.875,,2.453125,31.71875,0.182293,8.712812
1997-12-09,,46.875,,27.3125,19.537229,48.5625,16.15625,,19.5625,,,,,,17.78125,,9.03125,663.52023,3.75,,2.429688,31.36875,0.182944,8.779662
1997-12-10,,45.625,,27.625,19.353411,48.53125,15.671875,,19.5625,,,,,,17.703125,,8.875,654.474015,3.5625,,2.351563,30.40625,0.175782,8.913363
1997-12-11,,45.5,,27.3125,18.591879,47.90625,15.3125,,19.25,,,,,,17.25,,8.65625,642.28129,3.296875,,2.339844,30.1,0.162761,8.467694
1997-12-12,,44.90625,,27.3125,17.987906,48.1875,15.09375,,19.5,,,,,,17.078125,,8.59375,640.708035,3.3125,,2.382813,28.7,0.17448,8.17801
1997-12-15,,45.28125,,27.5,18.828217,47.96875,15.359375,,20.09375,,,,,,17.828125,,8.46875,649.75425,3.28125,,2.320313,28.0875,0.175782,8.155727
1997-12-16,,45.0,,27.75,18.434321,48.40625,15.078125,,20.09375,,,,,,17.09375,,8.578125,658.013838,3.453125,,2.257813,28.0875,0.171876,8.133443
1997-12-17,,44.8125,,27.75,18.434321,48.90625,15.125,,20.375,,,,,,16.75,,8.578125,664.700171,3.4375,,2.230469,28.7875,0.171876,8.333994
1997-12-18,,44.75,,27.5625,18.145464,47.59375,14.875,,20.59375,,,,,,16.671875,,8.625,665.880113,3.359375,,2.1875,28.39375,0.171876,8.445411
1997-12-19,,44.65625,,27.75,18.066685,47.65625,13.921875,,20.5,,,,,,16.265625,,8.5,659.980407,3.359375,,2.128906,28.7875,0.17448,8.489978
1997-12-22,,44.53125,,27.625,18.48684,48.0625,14.296875,,21.125,,,,,,16.359375,,8.578125,669.419936,3.546875,,2.125,28.175,0.178386,8.846512
1997-12-23,,43.0,,28.125,18.250503,47.78125,13.96875,,21.03125,,,,,,15.390625,,8.34375,654.867329,3.484375,,2.130859,28.04375,0.175782,8.801945
1997-12-24,,43.375,,28.8125,17.961646,47.8125,14.109375,,20.96875,,,,,,15.46875,,8.265625,645.4278,3.5,,2.085938,28.74375,0.175782,8.645962
1997-12-26,,43.5625,,28.75,18.014165,48.0,14.09375,,21.03125,,,,,,15.53125,,8.28125,645.821113,3.625,,2.078125,28.48125,0.177084,8.779662
1997-12-29,,45.1875,,29.375,18.618139,48.0,14.25,,21.28125,,,,,,15.5,,8.59375,666.66674,3.65625,,2.058594,29.44375,0.177084,8.779662
1997-12-30,,45.4375,,29.625,18.906996,48.6875,14.59375,,21.34375,,,,,,17.09375,,8.984375,689.085621,4.0,,2.3125,29.6625,0.182293,8.579111
1997-12-31,,45.25,,29.375,19.274632,48.59375,14.765625,,21.28125,,,,,,16.875,,9.1875,684.365857,3.984375,,2.273438,30.5375,0.186199,8.645962
1998-01-02,,45.5625,,28.875,18.906996,48.8125,14.953125,,21.125,,,,,,17.0625,,9.140625,693.018759,4.015625,,2.257813,29.8375,0.188803,8.735095
1998-01-05,,44.9375,,29.0625,19.038294,48.875,14.9375,,20.9375,,,,,,17.28125,,8.796875,688.298994,3.96875,,2.253906,28.21875,0.187501,8.623678
1998-01-06,,44.46875,,29.1875,18.880736,49.15625,14.6875,,20.78125,,,,,,17.328125,,8.90625,685.545798,3.9375,,2.226563,27.9125,0.18685,8.601395
1998-01-07,,44.5,,29.625,18.329282,49.15625,14.53125,,20.59375,,,,,,17.0625,,8.953125,678.859465,3.96875,,2.210938,27.95625,0.186199,8.445411
1998-01-08,,44.0625,,29.6875,18.828217,49.15625,13.890625,,20.90625,,,,,,17.21875,,9.0,675.319642,3.71875,,2.25,26.6875,0.184897,8.579111
1998-01-09,,42.25,,30.1875,18.197983,46.9375,13.09375,,20.25,,,,,,16.734375,,8.609375,649.360937,3.34375,,2.257813,24.9375,0.182944,8.512261
1998-01-12,,42.71875,,30.125,17.935386,47.6875,13.421875,,20.40625,,,,,,17.015625,,8.828125,636.774898,3.21875,,2.25,25.15625,0.18099,8.512261
1998-01-13,,44.0625,,31.625,18.434321,47.40625,13.40625,,20.15625,,,,,,17.359375,,8.875,635.594957,3.390625,,2.273438,25.9875,0.182293,8.423128
1998-01-14,,44.53125,,31.9375,18.53936,48.40625,13.640625,,20.375,,,,,,17.4375,,8.90625,633.235075,3.46875,,2.308594,26.425,0.181642,8.489978
1998-01-15,,43.875,,32.5625,18.303022,47.4375,13.671875,,20.3125,,,,,,17.375,,8.84375,632.448447,3.453125,,2.304688,25.8125,0.188803,8.267144
1998-01-16,,44.3125,,33.0,18.828217,48.46875,13.640625,,20.34375,,,,,,17.546875,,9.015625,638.741466,3.59375,,2.296875,26.6875,0.190105,8.267144
1998-01-20,,44.78125,,33.4375,19.510969,49.0625,14.0625,,20.34375,,,,,,18.421875,,9.109375,654.080701,3.53125,,2.242188,28.13125,0.187826,8.311711
1998-01-21,,44.5,,32.6875,19.064554,48.3125,13.3125,,20.40625,,,,,,18.1875,,9.0,656.440583,3.609375,,2.210938,28.04375,0.187501,8.378561
1998-01-22,,43.4375,,32.75,18.801957,47.65625,13.390625,,20.15625,,,,,,18.0,,9.484375,659.980407,3.625,,2.140625,25.15625,0.184897,8.333994
1998-01-23,,43.53125,,32.875,19.012035,47.53125,13.484375,,19.78125,,,,,,18.09375,,9.375,670.993191,3.6875,,2.132813,25.06875,0.186199,8.088876
1998-01-26,,43.28125,,32.75,18.749437,47.78125,13.421875,,20.0,,,,,,17.953125,,9.515625,679.646092,3.71875,,2.085938,26.075,0.184897,8.022026
1998-01-27,,42.5625,,32.6875,19.090814,48.125,13.40625,,19.78125,,,,,,17.59375,,9.53125,699.311778,3.78125,,2.097656,26.03125,0.183595,7.13069
1998-01-28,,43.5,,32.6875,19.038294,48.0625,13.8125,,19.84375,,,,,,18.140625,,9.5625,700.098405,3.875,,2.0625,26.95,0.183595,7.086123
1998-01-29,,44.125,,32.5,19.45845,48.0625,13.28125,,20.125,,,,,,18.0,,9.640625,696.165268,3.5625,,2.046875,27.825,0.190105,6.99699
1998-01-30,,44.25,,32.875,20.009904,48.125,13.375,,19.96875,,,,,,17.984375,,9.78125,694.1987,3.421875,,2.03125,26.95,0.186199,6.751872
1998-02-02,,44.46875,,33.0625,19.957384,49.34375,13.640625,,19.90625,,,,,,18.546875,,10.265625,705.998111,3.75,,2.097656,26.95,0.178386,6.863289
1998-02-03,,45.03125,,32.9375,19.904865,49.0,13.71875,,19.96875,,,,,,18.609375,,10.21875,715.044326,3.90625,,2.117188,26.8625,0.183595,6.818722
1998-02-04,,45.65625,,33.0625,20.062423,48.78125,13.734375,,20.0625,,,,,,18.5,,10.421875,711.504503,4.242188,,2.132813,28.2625,0.184897,6.796439
1998-02-05,,45.25,,32.9375,20.088683,49.125,13.828125,,19.9375,,,,,,18.75,,10.640625,712.29113,4.21875,,2.246094,28.48125,0.188803,7.175257
1998-02-06,,45.5,,33.1875,20.009904,49.0,13.96875,,20.1875,,,,,,18.90625,,10.234375,716.617581,4.1875,,2.207031,27.65,0.187501,7.242107
1998-02-09,,45.6875,,33.3125,20.088683,48.59375,14.0,,20.125,,,,,,18.515625,,10.09375,713.864385,4.28125,,2.167969,27.2125,0.18685,7.286674
1998-02-10,,46.0625,,33.5625,20.692656,49.5625,13.953125,,20.21875,,,,,,18.515625,,10.0625,723.303914,4.40625,,2.1875,27.69375,0.18685,7.331241
1998-02-11,,46.875,,32.875,21.112812,49.5625,13.984375,,20.25,,,,,,18.125,,10.140625,731.170189,4.40625,,2.25,27.0375,0.187501,7.219824
1998-02-12,,46.78125,,32.4375,20.902734,49.9375,13.890625,,20.1875,,,,,,18.25,,10.125,747.689364,4.4375,,2.226563,26.425,0.191407,7.286674
1998-02-13,,46.15625,,32.4375,20.981513,49.4375,14.015625,,20.125,,,,,,18.25,,10.109375,739.429776,4.71875,,2.234375,27.0375,0.191407,7.175257
1998-02-17,,46.65625,,32.125,21.375409,48.90625,14.296875,,20.1875,,,,,,18.765625,,10.125,735.889953,4.234375,,2.214844,25.9,0.184897,7.286674
1998-02-18,,47.0,,31.75,21.349149,49.5,14.359375,,20.34375,,,,,,18.96875,,10.359375,741.396345,4.3125,,2.257813,26.90625,0.182944,7.152973
1998-02-19,,46.5,,31.75,21.559227,49.15625,14.40625,,20.15625,,,,,,18.59375,,10.328125,734.710012,4.085938,,2.324219,26.6,0.18685,7.13069
1998-02-20,,46.25,,31.75,21.427928,48.875,14.5625,,20.25,,,,,,19.0,,10.578125,743.756227,4.03125,,2.355469,26.55625,0.187501,7.108407
1998-02-23,,46.5,,31.8125,21.349149,48.375,14.296875,,20.40625,,,,,,19.046875,,10.5,744.936168,3.953125,,2.375,25.375,0.186199,7.019273
1998-02-24,,46.3125,,31.875,20.955254,48.34375,14.109375,,20.375,,,,,,18.796875,,10.328125,743.756227,3.75,,2.371094,24.80625,0.182293,6.99699
1998-02-25,,46.4375,,31.875,21.165331,48.6875,14.125,,20.53125,,,,,,19.34375,,10.1875,755.555639,3.984375,,2.414063,25.725,0.188152,7.06384
1998-02-26,,46.5,,31.75,21.821824,48.59375,14.234375,,20.46875,,,,,,19.265625,,10.453125,758.702148,4.03125,,2.464844,28.4375,0.187501,7.06384
1998-02-27,,46.625,,30.8125,21.32289,48.40625,14.46875,,19.9375,,,,,,19.328125,,10.5625,756.342266,3.921875,,2.460938,28.65625,0.188152,7.06384
1998-03-02,,46.125,,30.5625,21.034033,49.0,14.390625,,20.0625,,,,,,19.453125,,10.640625,756.73558,3.53125,,2.414063,29.35625,0.186199,7.152973
1998-03-03,,46.5625,,30.1875,21.060292,49.0625,14.359375,,20.125,,,,,,20.015625,,10.859375,767.35505,4.125,,2.40625,29.96875,0.18099,7.286674
1998-03-04,,45.90625,,29.9375,21.139072,48.59375,14.328125,,20.21875,,,,,,20.109375,,10.875,759.882089,4.09375,,2.398438,28.83125,0.18099,7.286674
1998-03-05,,45.78125,,30.1875,20.771436,48.59375,14.109375,,20.15625,,,,,,19.75,,10.75,752.802443,3.96875,,2.382813,28.6125,0.175782,7.286674
1998-03-06,,46.65625,,30.75,21.007773,49.5,14.390625,,20.1875,,,,,,20.15625,,11.25,763.028599,4.09375,,2.378906,28.2625,0.177084,7.576358
1998-03-09,,47.0,,30.3125,20.745176,49.21875,14.234375,,20.375,,,,,,20.25,,11.234375,772.861442,4.265625,,2.445313,26.81875,0.183595,7.576358
1998-03-10,,47.375,,30.1875,21.427928,49.65625,14.21875,,20.5625,,,,,,20.28125,,11.234375,767.748364,4.171875,,2.539063,26.55625,0.178386,7.710059
1998-03-11,,48.0,,30.25,21.611746,50.625,14.03125,,20.5,,,,,,20.625,,11.53125,771.681501,4.296875,,2.523438,26.425,0.18099,7.598642
1998-03-12,,48.5,,30.0,21.480448,50.3125,14.65625,,20.3125,,,,,,20.984375,,11.515625,769.321618,4.375,,2.523438,27.43125,0.184246,7.754625
1998-03-13,,48.40625,,29.625,21.217851,49.6875,14.984375,,20.3125,,,,,,21.421875,,11.5,781.514344,4.328125,,2.578125,26.81875,0.179688,7.776909
1998-03-16,,49.0,,29.6875,21.979382,50.09375,15.28125,,20.34375,,,,,,21.5,,11.515625,800.000088,4.25,,2.53125,25.94375,0.179688,7.665492
1998-03-17,,47.625,,30.0625,21.349149,50.65625,15.265625,,20.3125,,,,,,21.484375,,11.5,806.293107,4.15625,,2.570313,27.08125,0.18099,7.620925
1998-03-18,,47.40625,,29.875,21.690526,51.0,15.515625,,20.15625,,,,,,21.328125,,11.25,791.347186,4.40625,,2.632813,28.9625,0.181642,7.732342
1998-03-19,,47.5,,30.0,22.425798,50.65625,15.421875,,20.25,,,,,,21.3125,,11.234375,796.066951,4.375,,2.625,28.7875,0.179688,7.665492
