datetime,VLO,F,PEG,OXY,FANG,DHI,MSCI,FIS,KMB,KVUE,XEL,VRSK,AME,TTD,TTWO,RMD,YUM,CSGP,CCL,ROK,ETR,CHTR,SYY,MCHP,CAH
1997-08-29,,,,,,,,,,,,,,,5.000025,,,,,,,,,,
1997-09-02,,,,,,,,,,,,,,,5.000025,,,,,,,,,,
1997-09-03,,,,,,,,,,,,,,,5.166693,,,,,,,,,,
1997-09-04,,,,,,,,,,,,,,,4.916691,,,,,,,,,,
1997-09-05,,,,,,,,,,,,,,,4.833358,,,,,,,,,,
1997-09-09,,,,,,,,,,,,,,,5.000025,,,,,,,,,,
1997-09-10,,,,,,,,,,,,,,,4.916691,,,,,,,,,,
1997-09-11,,,,,,,,,,,,,,,4.916691,,,,,,,,,,
1997-09-12,,,,,,,,,,,,,,,5.125026,,,,,,,,,,
1997-09-16,,,,,,,,,,,,,,,4.916691,,,,,,,,,,
1997-09-17,,,,,,,,,,,,,,,4.916691,,,,,,,,,,
1997-09-18,,,,,,,,,,,,,,,5.33336,,,,,,,,,,
1997-09-19,,,,,,,,,,,,,,,5.083359,,,,,,,,,,
1997-09-22,,,,,,,,,,,,,,,5.250026,,,,,,,,,,
1997-09-23,,,,,,,,,,,,,,,5.000025,,,,,,,,,,
1997-09-24,,,,,,,,,,,,,,,5.000025,,,,,,,,,,
1997-09-25,,,,,,,,,,,,,,,5.000025,,,,,,,,,,
1997-09-26,,,,,,,,,,,,,,,5.000025,,,,,,,,,,
1997-09-29,,,,,,,,,,,,,,,5.000025,,,,,,,,,,
1997-09-30,,,,,,,,,,,,,,,5.291693,1.625,,,,,,,,,
1997-10-01,7.47906,16.77087,13.09375,12.470377,,4.339235,,,45.821179,,25.28125,,3.555609,,5.000025,1.59375,5.572669,,23.78125,20.165142,12.65625,,9.34375,6.759361,22.678481
1997-10-02,7.550425,17.207373,13.09375,12.650238,,4.511427,,,46.115659,,25.375,,3.611165,,5.000025,1.59375,5.550198,,24.5,20.256181,12.9375,,9.28125,6.833436,23.057453
1997-10-03,7.693155,17.092504,13.21875,12.860076,,4.563084,,,46.704621,,25.1875,,3.555609,,5.250026,1.609375,5.628845,,24.28125,20.438259,12.9375,,9.484375,7.092699,23.276858
