datetime,RJF,EQT,WAB,IQV,EL,WBD,ACGL,STX,STT,XYL,EXR,NUE,DD,TSCO,STZ,NRG,PCG,BRO,MTB,EFX,VTR,WTW,LEN,UAL,BR
1997-09-05,,,,,,,2.513861,,,,,,,,,,,,,,,,,,
1997-09-08,,,,,,,2.583305,,,,,,,,,,,,,,,,,,
1997-09-09,,,,,,,2.569416,,,,,,,,,,,,,,,,,,
1997-09-10,,,,,,,2.583305,,,,,,,,,,,,,,,,,,
1997-09-11,,,,,,,2.569416,,,,,,,,,,,,,,,,,,
1997-09-12,,,,,,,2.569416,,,,,,,,,,,,,,,,,,
1997-09-15,,,,,,,2.583305,,,,,,,,,,,,,,,,,,
1997-09-16,,,,,,,2.576361,,,,,,,,,,,,,,,,,,
1997-09-17,,,,,,,2.565971,,,,,,,,,,,,,,,,,,
1997-09-18,,,,,,,2.583305,,,,,,,,,,,,,,,,,,
1997-09-19,,,,,,,2.555527,,,,,,,,,,,,,,,,,,
1997-09-22,,,,,,,2.583305,,,,,,,0.24375,,,,,,,,,,,
1997-09-23,,,,,,,2.583305,,,,,,,0.240625,,,,,,,,,,,
1997-09-24,,,,,,,2.583305,,,,,,,0.24375,,,,1.677092,,,,,,,
1997-09-25,,,,,,,2.583305,,,,,,,0.24375,,,,1.640633,,,,,,,
1997-09-26,,,,,,,2.52775,,,,,,,0.24375,,,,1.640633,,,,,,,
1997-09-29,,,,,,,2.583305,,,,,,,0.246875,,,,1.640633,,,,,,,
1997-09-30,,,,,,,2.555527,,,,,,43.012295,0.246875,,,,1.718759,,,,,,,
1997-10-01,7.000109,4.321627,11.59375,,11.640625,,2.555527,,29.875,,,13.15625,43.190154,0.25,5.890625,,23.5,1.666675,41.5,21.135563,22.750796,,9.697188,,
1997-10-02,7.111221,4.338642,11.625,,11.609375,,2.562472,,30.34375,,,13.0,43.931234,0.24375,6.09375,,23.6875,1.703134,41.2,21.719188,22.681958,,9.796719,,
1997-10-03,7.209988,4.304613,11.625,,11.65625,,2.583305,,30.90625,,,13.21875,44.109093,0.24375,6.234375,,23.3125,1.703134,41.2,21.552438,22.750796,,9.924688,,
1997-10-06,7.172951,4.279092,11.96875,,11.734375,,2.562472,,31.125,,,13.09375,44.138736,0.253125,6.296875,,23.25,1.750009,41.5,21.6775,22.785215,,9.825156,,
1997-10-07,7.209988,4.321627,12.3125,,11.84375,,2.562472,,31.09375,,,13.359375,43.871948,0.253125,6.28125,,23.375,1.750009,41.9,21.802563,23.19824,,9.995781,,
