datetime,IRM,IP,AVB,KEYS,DTE,FITB,HUM,ROL,K,AWK,HPE,GIS,IT,AEE,PPL,SYF,MTD,WRB,VRSN,ADM,VLTO,TDY,LULU,EQR,PPG
1997-10-01,5.073025,51.050261,40.0625,,25.950864,29.555851,23.375,1.360797,39.996274,,,17.65625,30.0625,39.1875,10.235709,,,2.59722063,,19.641943,,,,27.40625,31.40625
1997-10-02,5.050578,51.633692,40.1875,,26.110398,30.028078,22.25,1.408352,41.345122,,,17.65625,32.0625,39.3125,10.322698,,,2.61916931,,19.641943,,,,27.21875,32.21875
1997-10-03,5.005684,51.166947,40.1875,,26.05722,29.889188,23.3125,1.37543,40.875957,,,17.515625,31.625,39.125,10.235709,,,2.58990463,,19.641943,,,,27.125,31.84375
1997-10-06,4.938343,51.341976,40.25,,26.004042,30.166968,23.0,1.349823,40.758666,,,17.453125,31.0,39.0,10.409687,,,2.56064061,,19.796199,,,,27.21875,31.9375
1997-10-07,5.18526,52.042094,40.25,,26.216754,30.597528,24.5,1.294952,40.289501,,,17.640625,31.5,39.375,10.351695,,,2.54234994,,19.899037,,,,27.28125,32.25
1997-10-08,5.140366,52.567183,40.25,,25.631796,30.0003,23.6875,1.353481,39.761691,,,17.4375,32.125,38.8125,10.177717,,,2.53869194,,19.74478,,,,27.34375,31.8125
1997-10-09,5.140366,53.092271,40.1875,,25.52544,29.972522,23.8125,1.382746,40.113565,,,17.40625,32.125,38.8125,10.061731,,,2.50211125,,19.693362,,,,27.15625,32.0625
1997-10-10,5.263825,52.975585,40.1875,,25.472262,29.389183,23.5625,1.382746,40.993248,,,17.25,30.9375,39.0,10.119724,,,2.43992455,,19.641943,,,,27.0,32.0625
1997-10-13,5.56686,53.61736,39.875,,25.472262,29.43085,24.0,1.382746,40.113565,,,17.234375,31.375,38.625,10.14872,,,2.43626655,,19.641943,,,,26.71875,31.78125
1997-10-14,5.510742,53.208957,40.1875,,25.52544,29.500295,23.875,1.371772,40.230856,,,17.234375,31.0,38.75,10.206713,,,2.45821456,,19.590524,,,,26.53125,31.5625
1997-10-15,5.578083,53.500673,39.5,,25.472262,29.86141,24.0625,1.338849,40.934603,,,17.25,30.125,38.3125,10.14872,,,2.45089856,,19.230593,,,,26.375,31.6875
1997-10-16,5.578083,53.61736,39.0625,,25.472262,29.778076,23.5625,1.309585,40.934603,,,17.203125,29.75,38.375,10.14872,,,2.42529188,,19.38485,,,,26.25,31.28125
1997-10-17,5.521966,53.44233,38.875,,25.365906,28.944734,23.6875,1.294952,40.465438,,,17.3125,30.125,37.9375,10.061731,,,2.41065987,,19.179175,,,,26.25,30.875
1997-10-20,5.533189,52.742212,38.6875,,25.419084,29.347516,24.1875,1.349823,42.048868,,,17.328125,31.25,38.3125,10.235709,,,2.40334387,,19.230593,,,,26.28125,30.96875
1997-10-21,5.533189,53.61736,38.875,,25.631796,30.041967,24.625,1.360797,42.576678,,,17.484375,32.125,38.3125,10.322698,,,2.44724056,,19.38485,,,,26.1875,31.0625
1997-10-22,5.521966,53.500673,39.0625,,25.738152,29.916966,23.875,1.368114,42.342096,,,17.328125,32.375,37.5,10.119724,,,2.47284724,,19.590524,,,,26.21875,30.78125
1997-10-23,5.398507,51.925408,39.0625,,25.365906,29.611407,23.1875,1.346165,40.817312,,,17.203125,30.375,37.0,9.858757,,,2.46553057,,19.38485,,,,26.15625,30.03125
1997-10-24,5.432178,49.650025,39.0625,,25.52544,29.778076,22.625,1.360797,41.755641,,,17.140625,29.125,37.75,10.032735,,,2.46187256,,19.127756,,,,25.96875,29.9375
1997-10-27,5.230154,44.457484,37.75,,24.46188,28.916956,20.9375,1.287636,38.178261,,,16.421875,26.75,36.75,9.539797,,,2.28262781,,17.482358,,,,25.40625,27.5
1997-10-28,5.073025,43.874053,38.5625,,25.365906,28.889178,21.5,1.276662,41.22783,,,16.765625,28.125,37.375,9.858757,,,2.29726048,,18.870663,,,,25.03125,28.5625
1997-10-29,4.96079,44.574171,38.875,,25.419084,29.361405,21.5625,1.265688,39.6444,,,16.65625,28.0,37.8125,10.061731,,,2.34847317,,18.202219,,,,25.375,28.125
1997-10-30,4.983237,43.290621,38.6875,,25.79133,29.111402,20.875,1.251056,39.11659,,,16.484375,27.25,37.5,9.829761,,,2.34847317,,18.099382,,,,25.1875,27.84375
1997-10-31,5.028131,42.007072,39.125,,26.163576,28.500285,20.9375,1.251056,40.406793,,,16.5,28.25,37.6875,10.032735,,,2.40700187,,18.305057,,,,25.25,28.3125
1997-11-03,5.061802,44.982573,38.8125,,26.269932,28.930845,21.75,1.26203,41.521058,,,16.859375,27.875,38.0625,9.974742,,,2.34847317,,18.664988,,,,25.25,28.34375
1997-11-04,5.028131,43.64068,38.8125,,26.429466,29.00029,22.0625,1.225449,41.579704,,,16.890625,27.625,38.0625,9.858757,,,2.31920849,,18.613569,,,,25.125,28.5
1997-11-05,5.050578,43.407307,38.9375,,26.482644,29.389183,22.0625,1.232765,41.638349,,,16.9375,28.75,37.8125,9.858757,,,2.35578918,,18.819244,,,,25.34375,28.21875
1997-11-06,5.084249,44.515827,38.8125,,26.004042,29.444739,22.5,1.254714,41.110539,,,16.953125,28.375,37.625,9.974742,,,2.38505386,,18.56215,,,,25.375,28.4375
1997-11-07,5.028131,44.107425,38.9375,,26.004042,29.00029,22.375,1.225449,40.406793,,,16.921875,27.625,37.25,9.945746,,,2.42895055,,18.356476,,,,25.3125,28.15625
1997-11-10,5.028131,44.574171,38.75,,26.004042,29.125291,22.75,1.225449,41.051894,,,16.90625,27.8125,37.6875,9.945746,,,2.43626655,,18.202219,,,,25.1875,27.96875
1997-11-11,5.039355,44.282455,38.5625,,25.897686,29.278071,22.75,1.232765,41.521058,,,17.109375,27.0,37.9375,10.14872,,,2.45089856,,17.79087,,,,24.96875,27.90625
1997-11-12,5.073025,43.699023,38.875,,25.950864,28.694731,22.0,1.210817,41.169185,,,17.328125,29.25,37.8125,9.945746,,,2.35578918,,17.739451,,,,24.8125,27.125
1997-11-13,4.994461,43.874053,38.3125,,26.163576,28.722509,21.6875,1.236423,42.400742,,,17.71875,29.625,38.0,10.119724,,,2.39968587,,17.739451,,,,24.65625,26.84375
