datetime,DOV,CBOE,WRK,NTRS,CNP,ATO,HBAN,SBAC,JBL,WDC,ON,PTC,ES,HPQ,FE,CINF,CHD,CDW,TYL,EXPD,DLTR,DRI,RF,GDDY,DG
1997-10-01,22.752597,,,30.21875,17.509327,25.6875,27.70465,,15.757813,28.430353,,53.28125,9.625,12.104713,23.4375,25.358728,2.484387,,3.5,5.3125,6.166759,6.902284,30.225,,
1997-10-02,22.79446,,,30.625,17.962154,25.75,28.362049,,16.0625,29.091524,,55.703125,9.625,12.491975,23.5625,25.54769,2.588555,,3.75,5.578125,6.166759,6.902284,31.887375,,
1997-10-03,22.940981,,,30.375,17.760897,25.75,28.362049,,16.125,29.752695,,59.53125,9.5625,12.392393,23.625,25.679964,2.583346,,3.6875,5.53125,6.31491,6.976903,31.2325,,
1997-10-06,23.003775,,,30.5625,17.861526,25.5,28.925533,,16.53125,29.091524,,60.625,9.9375,12.414523,23.9375,26.076785,2.656263,,3.625,5.53125,6.407504,7.126141,31.434,,
1997-10-07,23.317749,,,30.375,17.962154,25.5625,29.019447,,17.15625,28.808165,,62.578125,9.875,12.392393,23.75,26.492501,2.546888,,3.5,5.625,6.518616,7.126141,31.383625,,
1997-10-08,23.192159,,,29.703125,17.509327,25.5625,28.455963,,17.875,28.902618,,61.25,10.375,12.303876,23.1875,25.963407,2.60418,,3.6875,5.921875,6.351947,7.051522,31.2325,,
1997-10-09,23.799174,,,29.625,17.609955,25.75,28.549877,,16.6875,30.508319,,61.09375,10.75,12.148971,23.125,25.396521,2.567721,,4.4375,5.96875,6.481579,6.976903,31.182125,,
1997-10-10,23.422406,,,29.875,17.459012,25.6875,28.268135,,14.804688,31.452849,,60.3125,10.8125,12.060454,23.1875,25.736653,2.520846,,4.8125,5.953125,6.435282,6.976903,30.628,,
1997-10-13,23.359612,,,30.0,17.760897,25.375,28.033349,,14.03125,30.8389045,,59.53125,10.9375,12.115777,23.0625,26.265747,2.583346,,5.4375,6.03125,6.370466,7.088832,30.8295,,
1997-10-14,23.234022,,,30.0625,17.760897,25.5625,27.70465,,14.0,29.941601,,58.59375,11.25,12.04939,23.3125,26.794841,2.546888,,5.75,5.96875,6.351947,6.939593,30.52725,,
1997-10-15,23.757311,,,30.1875,17.861526,25.125,27.610736,,14.59375,29.091524,,57.03125,11.0625,12.016196,23.0,26.341332,2.557304,,5.375,5.75,6.14824,6.902284,30.12425,,
1997-10-16,23.778243,,,29.9375,18.012468,24.6875,27.188123,,14.28125,28.3359,,59.84375,11.125,11.57361,23.375,26.0012,2.515638,,5.5,5.5,6.166759,6.939593,30.32575,,
1997-10-17,23.317749,,,29.9375,18.012468,24.9375,26.859424,,13.84375,27.1552375,,61.5625,11.1875,11.418705,23.25,25.69886,2.416679,,5.4375,5.1875,5.963052,6.603806,30.52725,,
1997-10-20,23.401475,,,30.5625,18.414981,25.5,27.047252,,13.9375,27.674729,,63.59375,11.5,11.717451,23.5,26.076785,2.479179,,5.375,5.296875,5.926015,6.827664,30.72875,,
1997-10-21,24.071284,,,30.875,18.414981,25.5625,27.047252,,13.734375,28.2886735,,63.75,11.5,11.850226,23.5,26.038992,2.489596,,5.375,5.125,6.46306,6.939593,31.2325,,
1997-10-22,24.134079,,,31.25,18.314353,25.3125,27.094209,,13.4375,27.9108615,,63.125,11.6875,11.839162,23.5,26.038992,2.421887,,5.125,5.4375,6.00009,6.864974,31.13175,,
1997-10-23,23.799174,,,30.5625,18.012468,24.625,27.094209,,12.4375,26.541293,,62.96875,11.5,11.518287,23.1875,26.076785,2.416679,,4.9375,4.921875,5.833421,6.753045,30.93025,,
1997-10-24,23.8829,,,30.5625,18.012468,25.125,26.577681,,12.0625,25.124498,,60.3125,11.3125,11.308059,23.5625,26.076785,2.432304,,4.9375,4.726563,5.926015,6.753045,30.93025,,
1997-10-27,22.899118,,,28.3125,17.459012,24.625,25.544627,,11.25,22.9048525,,56.5625,11.375,10.533534,23.5625,26.0012,2.343762,,4.0,4.46875,5.407489,5.969543,29.469375,,
