datetime,EXPE,CPAY,TROW,ULTA,PHM,HUBB,WSM,LII,STE,TPR,TPL,AMCR,LH,DVN,NVR,CMS,CFG,NTAP,LDOS,PODD,KEY,GPN,EIX,TRMB,LYB
1997-09-11,,,,,,,,,,,3.24166342,,,,,,,,,,,,,,
1997-09-12,,,,,,,,,,,3.58332975,,,,,,,,,,,,,,
1997-09-15,,,,,,,,,,,3.72499628,,,,,,,,,,,,,,
1997-09-16,,,,,,,,,,,3.7666629,,,,,,,,,,,,,,
1997-09-17,,,,,,,,,,,3.7666629,,,,,,,,,,,,,,
1997-09-18,,,,,,,,,,,3.77082956,,,,,,,,,,,,,,
1997-09-19,,,,,,,,,,,3.75832958,,,,,,,,,,,,,,
1997-09-22,,,,,,,,,,,3.74999625,,,,,,,,,,,,,,
1997-09-23,,,,,,,,,,,3.77499622,,,,,,,,,,,,,,
1997-09-24,,,,,,,,,,,3.84999615,,,,,,,,,,,,,,
1997-09-25,,,,,,,,,,,3.82916284,,,,,,,,,,,,,,
1997-09-26,,,,,,,,,,,3.8666628,,,,,,,,,,,,,,
1997-09-29,,,,,,,,,,,3.7999962,,,,,,,,,,,,,,
1997-09-30,,,,,,,,,,,3.72916294,,,,,,,,,,,,,,
1997-10-01,,,16.65625,,4.71875,47.4375,5.296875,,19.28125,,3.70832962,,5.771897,22.8125,25.125,36.8125,,3.3125,,,31.9375,,25.5625,3.229183,
1997-10-02,,,16.875,,4.6875,47.4375,5.25,,19.40625,,3.666663,,5.771897,23.6875,24.75,37.0625,,3.234375,,,32.71875,,26.0,3.27085,
1997-10-03,,,17.28125,,4.757813,47.1875,5.1875,,19.8125,,3.58749641,,5.771897,23.375,24.9375,37.3125,,3.273438,,,33.03125,,25.8125,3.260433,
1997-10-06,,,17.234375,,4.75,47.5,5.265625,,19.9375,,3.40832993,,5.637667,24.1875,25.25,37.625,,3.28125,,,33.46875,,25.875,3.375017,
1997-10-07,,,17.9375,,4.765625,47.25,5.234375,,19.625,,3.32499667,,5.771897,24.125,25.4375,37.875,,3.375,,,33.5,,26.1875,3.458351,
1997-10-08,,,17.3125,,4.75,47.125,5.1875,,19.84375,,3.0999969,,5.906127,23.875,24.8125,37.375,,3.296875,,,33.0,,25.5625,3.33335,
1997-10-09,,,17.0625,,4.796875,47.0,5.34375,,19.6875,,3.0999969,,6.040357,23.96875,24.0625,37.5625,,3.359375,,,33.375,,25.1875,3.375017,
1997-10-10,,,17.28125,,4.8125,46.75,5.5,,20.0,,3.1333302,,6.040357,24.125,23.9375,37.5,,3.46875,,,33.0625,,25.0,3.39585,
