datetime,NI,MKC,FSLR,INVH,HAL,TSN,L,IFF,ZBH,DGX,STLD,BIIB,GEN,WY,ERIE,ESS,GPC,CTRA,WST,PKG,PFG,RL,WAT,DOW,MAA
1997-09-26,,,,,,,,,,,,5.507361,,,,,,,,,,,,,
1997-09-29,,,,,,,,,,,,5.680066,,,31.75,,,,,,,,,,
1997-09-30,,,,,,,,,,,,6.428453,,,32.5,,,,8.25,,,,,,
1997-10-01,8.350379,6.140625,,,26.28125,23.875,18.864395,48.6875,,4.203125,5.65625,6.390074,2.68749934,23.75,33.75,35.1875,31.375,2.00001,8.3125,,,27.0,11.25,,29.875
1997-10-02,8.399499,6.28125,,,26.625,23.375,18.833145,49.25,,4.203125,5.4375,6.447643,2.77343675,23.875,33.75,35.9375,32.4375,1.994802,8.3125,,,26.625,11.578125,,30.0
1997-10-03,8.436339,6.375,,,26.5,23.3125,18.895644,49.9375,,4.234375,5.65625,6.581968,2.91406177,23.775,33.75,36.75,32.25,2.03126,8.359375,,,26.5,11.734375,,29.375
1997-10-06,8.473178,6.328125,,,26.78125,23.5,19.062309,49.9375,,4.25,5.53125,6.716294,2.82031234,23.95,33.25,36.75,32.5625,2.06251,8.28125,,,26.625,11.140625,,29.75
1997-10-07,8.510018,6.34375,,,28.625,23.0625,19.166475,49.5625,,4.296875,5.3125,7.061704,2.87499994,23.925,33.0,36.4375,33.3125,2.067719,8.28125,,,26.1875,11.453125,,29.375
1997-10-08,8.411779,6.296875,,,28.28125,22.875,18.708146,49.25,,4.3125,5.625,6.888999,2.85937417,23.45,33.0,36.75,32.9375,2.072927,8.25,,,25.4375,11.421875,,29.4375
1997-10-09,8.338099,6.28125,,,29.0625,23.3125,18.864395,49.4375,,4.25,5.8125,6.486021,2.85937417,23.65,33.0,36.75,33.0625,2.052094,8.28125,,,26.0,11.1875,,29.0
1997-10-10,8.387219,6.09375,,,29.5625,23.125,18.895644,49.8125,,4.21875,5.78125,6.601158,2.77343675,23.55,33.25,37.0,32.875,2.020843,8.359375,,,26.0,11.5625,,29.3125
1997-10-13,8.387219,6.1875,,,28.875,23.0625,18.749813,50.1875,,4.15625,6.03125,6.159801,2.84375013,23.9,30.375,36.125,33.0625,2.088552,8.40625,,,26.25,11.484375,,29.25
1997-10-14,8.424059,6.21875,,,27.78125,22.5,18.885228,50.0,,4.09375,5.96875,6.178991,2.79687455,22.9,32.0,35.9375,33.375,2.015635,8.28125,,,26.0625,11.578125,,29.1875
1997-10-15,8.436339,6.140625,,,28.15625,21.75,18.99981,49.0625,,4.078125,5.84375,6.121423,2.67968732,23.15,32.75,35.9375,33.375,2.067719,8.296875,,,25.6875,11.671875,,29.0
1997-10-16,8.448619,6.25,,,27.4375,22.1875,18.66648,49.1875,,4.125,5.6875,5.948718,2.62499972,22.15,32.5,35.8125,32.75,2.005218,8.078125,,,25.125,11.375,,29.0625
1997-10-17,8.473178,6.234375,,,27.6875,21.5625,18.645647,49.0,,4.09375,5.46875,5.814392,2.64843751,21.975,31.5,34.8125,32.875,1.958343,8.015625,,,24.8125,10.984375,,28.9375
1997-10-20,8.669658,6.265625,,,29.15625,21.5625,18.864395,49.5,,4.078125,5.5,5.795203,2.75781272,22.0,33.0,34.375,32.9375,1.973968,8.0,,,24.6875,11.09375,,28.8125
1997-10-21,8.731058,6.4375,,,29.59375,21.0625,18.989393,50.25,,4.203125,5.59375,6.294127,2.89843773,22.125,32.875,34.1875,32.875,1.984385,8.140625,,,25.4375,11.71875,,28.625
1997-10-22,8.681938,6.375,,,29.375,20.75,18.96856,50.125,,4.1875,5.8125,5.910339,2.88281196,21.4,31.5,34.3125,32.6875,1.989593,8.1875,,,25.9375,11.6875,,28.5625
