datetime,FTV,J,FFIV,SNA,DECK,ZBRA,PNR,LUV,LNT,BALL,EVRG,DPZ,HRL,CLX,FDS,BG,CF,ALGN,APTV,BAX,INCY,KIM,HOLX,BLDR,COO
1997-08-12,,,,,0.42360768,,,,,,,,,,,,,,,,,,,,
1997-08-13,,,,,0.38194143,,,,,,,,,,,,,,,,,,,,
1997-08-14,,,,,0.42360768,,,,,,,,,,,,,,,,,,,,
1997-08-15,,,,,0.40277464,,,,,,,,,,,,,,,,,,,,
1997-08-18,,,,,0.39583012,,,,,,,,,,,,,,,,,,,,
1997-08-19,,,,,0.39583012,,,,,,,,,,,,,,,,,,,,
1997-08-20,,,,,0.40971899,,,,,,,,,,,,,,,,,,,,
1997-08-21,,,,,0.43055219,,,,,,,,,,,,,,,,,,,,
1997-08-22,,,,,0.43055219,,,,,,,,,,,,,,,,,,,,
1997-08-25,,,,,0.40971899,,,,,,,,,,,,,,,,,,,,
1997-08-26,,,,,0.38888578,,,,,,,,,,,,,,,,,,,,
1997-08-27,,,,,0.41666333,,,,,,,,,,,,,,,,,,,,
1997-08-28,,,,,0.41319116,,,,,,,,,,,,,,,,,,,,
1997-08-29,,,,,0.41666333,,,,,,,,,,,,,,,,,,,,
1997-09-02,,,,,0.40624681,,,,,,,,,,,,,,,,,,,,
1997-09-03,,,,,0.41319116,,,,,,,,,,,,,,,,,,,,
1997-09-04,,,,,0.41319116,,,,,,,,,,,,,,,,,,,,
1997-09-05,,,,,0.40624681,,,,,,,,,,,,,,,,,,,,
1997-09-08,,,,,0.40277464,,,,,,,,,,,,,,,,,,,,
1997-09-09,,,,,0.41666333,,,,,,,,,,,,,,,,,,,,
1997-09-10,,,,,0.41666333,,,,,,,,,,,,,,,,,,,,
1997-09-11,,,,,0.40971899,,,,,,,,,,,,,,,,,,,,
1997-09-12,,,,,0.41666333,,,,,,,,,,,,,,,,,,,,
1997-09-15,,,,,0.41666333,,,,,,,,,,,,,,,,,,,,
1997-09-16,,,,,0.40624681,,,,,,,,,,,,,,,,,,,,
1997-09-17,,,,,0.41319116,,,,,,,,,,,,,,,,,,,,
1997-09-18,,,,,0.43055219,,,,,,,,,,,,,,,,,,,,
1997-09-19,,,,,0.44096872,,,,,,,,,,,,,,,,,,,,
1997-09-22,,,,,0.41666333,,,,,,,,,,,,,,,,,,,,
1997-09-23,,,,,0.42360768,,,,,,,,,,,,,,,,,,,,
1997-09-24,,,,,0.45832975,,,,,,,,,,,,,,,,,,,,
1997-09-25,,,,,0.44444089,,,,,,,,,,,,,,,,,,,,
1997-09-26,,,,,0.42013551,,,,,,,,,,,,,,,,,,,,
1997-09-29,,,,,0.42360768,,,,,,,,,,,,,,,,,,,,
1997-09-30,,,,,0.43402437,,,,,,,,,,6.666733,,,,,,,,,,
1997-10-01,,6.28863732,,46.125,0.43055219,15.611267,12.863843,6.284076,14.8125,2.183594,34.625,,4.054688,37.4375,6.694511,,,,,13.805892,21.0,11.625058,6.90625,,4.46875
1997-10-02,,6.26281129,,45.75,0.42360768,15.611267,12.884828,6.345806,14.875,2.1875,35.0,,4.0625,36.84375,6.763957,,,,,13.870861,21.5625,11.625058,7.21875,,4.648438
1997-10-03,,6.30155033,,45.0625,0.42360768,15.666823,12.758918,6.284076,14.65625,2.191406,35.0,,4.03125,36.71875,6.958403,,,,,13.838376,22.125,11.708392,7.125,,4.617188
1997-10-06,,6.34028937,,44.875,0.43749654,15.805714,12.947784,6.39519,14.9375,2.210938,34.625,,3.992188,36.96875,7.083404,,,,,14.146979,21.9375,11.708392,7.09375,,4.429688
1997-10-07,,6.35320238,,44.75,0.44444089,16.055716,12.968769,6.444573,14.65625,2.234375,34.375,,4.054688,37.375,7.166738,,,,,14.601761,22.0,11.687558,7.15625,,4.359375
1997-10-08,,6.32737635,,43.875,0.44444089,15.666823,12.821873,6.432227,14.53125,2.199219,33.75,,4.015625,37.25,7.236183,,,,,14.569277,21.5,11.708392,7.0,,4.476563
1997-10-09,,6.30155033,,43.875,0.54166242,15.611267,12.716948,6.518649,14.625,2.214844,33.9375,,4.054688,36.875,7.208405,,,,,14.439339,21.25,11.645892,7.125,,4.351563
1997-10-10,,6.32737635,,43.75,0.52082921,16.083494,12.633008,6.592724,14.625,2.207031,34.0,,3.96875,36.375,7.458408,,,,,14.146979,21.0,11.33339,7.1875,,4.429688
1997-10-13,,6.26281129,,44.0,0.50694035,16.833502,12.947784,6.617416,14.75,2.210938,34.1875,,3.992188,36.40625,7.305629,,,,,14.390612,20.71875,11.479224,7.25,,4.390625
1997-10-14,,6.30155033,,43.5625,0.5347179,16.722389,13.010739,6.913719,14.8125,2.21875,34.4375,,3.984375,36.21875,7.13896,,,,,14.423097,20.625,11.562558,6.90625,,4.359375
1997-10-15,,6.30155033,,43.1875,0.53819008,16.555721,13.031724,7.074216,15.0625,2.25,34.75,,3.976563,35.71875,7.069515,,,,,14.276916,20.875,11.583391,6.9375,,4.304688
1997-10-16,,6.26281129,,43.375,0.52082921,14.722369,12.989754,6.851989,14.84375,2.15625,34.6875,,3.953125,35.34375,6.444509,,,,,14.033283,20.15625,11.500058,6.96875,,4.273438
