datetime,OMC,TER,JBHT,EG,ALLE,BBY,MAS,TXT,IEX,TKO,AVY,ARE,UDR,PAYC,CNC,REG,BEN,JKHY,SOLV,MRNA,NDSN,CPT,FOX,PEAK
1997-09-30,,,,,,,,,,,,28.5625,,,,,,,,,,,,
1997-10-01,18.078125,26.75,3.9375,42.25,,2.680582,20.029138,32.625,15.389043,,41.1875,29.0,15.0625,,,26.5,15.604011,6.6875,,,14.5,30.5625,,
1997-10-02,18.671875,27.1875,4.171875,41.8125,,2.583359,20.606109,32.53125,15.333487,,41.0,28.6875,15.125,,,26.6875,15.833175,6.625,,,14.546875,30.6875,,
1997-10-03,18.1875,27.25,4.0,42.5,,2.687527,20.661059,32.53125,15.389043,,41.5,28.6875,15.0,,,26.75,16.104006,6.625,,,14.375,30.8125,,
1997-10-06,17.78125,26.125,3.96875,41.875,,2.64586,20.55116,32.6875,15.583489,,41.5,28.5625,15.0625,,,26.6875,16.312337,6.625,,,14.40625,30.9375,,
1997-10-07,17.734375,26.15625,3.96875,41.5,,2.666693,20.578635,32.84375,15.833492,,41.9375,28.75,15.125,,,26.5625,16.69775,6.5,,,14.40625,31.0,,
1997-10-08,17.734375,27.1875,3.96875,40.9375,,2.729194,20.221462,32.34375,15.750158,,41.0,28.0,14.9375,,,26.3125,16.249838,6.375,,,14.40625,31.125,,
1997-10-09,17.921875,27.375,3.90625,41.0625,,2.763917,20.358836,32.1875,15.666823,,41.25,28.125,14.875,,,25.75,15.645677,6.5,,,14.375,30.6875,,
1997-10-10,17.625,29.375,3.875,42.25,,2.812528,20.413786,31.5,15.277931,,41.125,28.4375,14.6875,,,26.0,15.562344,6.40625,,,14.25,30.75,,
1997-10-13,17.734375,29.3125,4.0,42.8125,,2.798639,20.221462,30.9375,15.416821,,41.0625,28.5,14.8125,,,26.1875,15.854008,6.25,,,14.25,30.75,,
1997-10-14,18.015625,28.625,4.046875,42.5,,2.840306,20.084088,31.75,16.083494,,41.1875,28.375,14.875,,,25.5,16.062339,6.3125,,,14.0625,30.9375,,
1997-10-15,17.78125,29.3125,3.921875,42.375,,3.083364,20.084088,31.3125,15.916826,,40.875,28.3125,14.6875,,,26.25,16.322753,6.4375,,,14.0625,31.0625,,
1997-10-16,17.625,27.84375,3.96875,40.5,,3.027808,19.919239,30.875,15.777936,,40.5,28.5625,14.6875,,,26.125,16.176922,6.921875,,,13.96875,30.5625,,
1997-10-17,17.1875,25.34375,4.140625,40.0,,3.00003,19.424692,30.625,15.333487,,40.25,27.8125,14.625,,,26.25,16.260254,6.9375,,,13.9375,30.25,,
1997-10-20,17.75,25.4375,4.0625,39.625,,3.034753,19.80934,31.40625,15.777936,,40.0625,27.375,14.625,,,26.625,16.385253,6.71875,,,14.0,30.75,,
1997-10-21,18.046875,26.375,4.0625,39.625,,3.159754,20.056613,31.375,15.722379,,40.375,27.3125,14.3125,,,26.5,16.822748,6.59375,,,14.0,30.8125,,
1997-10-22,17.984375,25.875,4.109375,38.8125,,3.333367,20.193987,30.9375,15.583489,,40.0625,27.625,14.375,,,26.625,17.260244,6.6875,,,13.96875,30.875,,
1997-10-23,17.515625,23.5625,4.0,37.0,,3.236143,19.946714,30.5625,15.583489,,40.8125,27.375,14.1875,,,25.875,16.812332,6.5,,,13.125,30.625,,
1997-10-24,17.859375,20.4375,4.015625,37.3125,,3.187532,19.864289,30.34375,15.333487,,40.0,27.625,14.25,,,25.8125,16.99983,6.5,,,12.4375,30.8125,,
1997-10-27,16.5,18.125,3.96875,33.0,,2.972252,19.12247,28.125,15.194596,,38.25,27.25,13.9375,,,24.625,15.249848,6.09375,,,12.125,30.3125,,
1997-10-28,17.03125,19.8125,3.96875,36.625,,3.2917,19.80934,28.75,14.889038,,40.875,27.0,13.8125,,,25.125,15.833175,5.75,,,12.296875,29.4375,,
1997-10-29,17.453125,19.8125,3.96875,37.5625,,3.118087,19.232369,28.53125,15.416821,,39.9375,27.9375,14.0,,,25.3125,15.426929,6.0625,,,12.5625,30.0,,
1997-10-30,17.25,18.0625,3.90625,37.6875,,3.034753,19.177419,28.625,14.972372,,39.8125,27.9375,14.0,,,25.375,15.197765,6.03125,,,12.375,29.75,,
1997-10-31,17.65625,18.71875,3.84375,37.625,,3.104198,19.287318,28.90625,14.944594,,39.8125,27.4375,13.875,,,25.75,14.979017,6.4375,,,12.40625,30.0,,
1997-11-03,18.21875,19.78125,3.859375,38.0,,3.236143,19.836815,29.34375,15.472377,,41.0,27.75,14.0,,,26.5,15.30193,6.40625,,,12.6875,30.8125,,
1997-11-04,18.78125,21.4375,3.84375,39.625,,3.250033,20.276412,29.6875,15.444599,,40.375,28.0,13.9375,,,26.875,15.510262,6.3125,,,12.609375,30.9375,,
1997-11-05,18.703125,21.78125,3.90625,40.6875,,3.145865,20.248937,29.78125,15.250153,,40.125,29.25,13.9375,,,26.875,15.520678,6.3125,,,12.75,30.8125,,
1997-11-06,18.140625,20.5625,3.90625,40.0625,,3.250033,20.221462,30.28125,15.333487,,40.1875,29.25,13.9375,,,26.75,15.479012,6.375,,,12.8125,30.75,,
1997-11-07,18.09375,19.34375,3.84375,39.125,,3.222254,20.303886,29.25,15.194596,,39.8125,28.875,13.9375,,,25.625,15.010267,6.1875,,,12.625,30.75,,
1997-11-10,17.90625,18.71875,3.84375,39.375,,3.159754,20.248937,29.25,15.277931,,39.5625,28.25,14.0,,,25.5,14.854018,6.40625,,,12.5625,30.75,,
