datetime,FOXA,POOL,CHRW,SJM,GL,MOS,WYNN,HST,AKAM,RVTY,DVA,NWSA,BXP,VTRS,PNW,HAS,SWKS,NCLH,SWK,UHS,HII,TAP,MGM,WBA,AOS
1997-09-19,,2.194853,,,,,,,,,,,,,,,,,,,,,,,
1997-09-22,,2.129008,,,,,,,,,,,,,,,,,,,,,,,
1997-09-23,,2.129008,,,,,,,,,,,,,,,,,,,,,,,
1997-09-24,,2.150956,,,,,,,,,,,,,,,,,,,,,,,
1997-09-25,,2.172905,,,,,,,,,,,,,,,,,,,,,,,
1997-09-26,,2.172905,,,,,,,,,,,,10.0,,,,,,,,,,,
1997-09-29,,2.150956,,,,,,,,,,,,9.86111111,,,,,,,,,,,
1997-09-30,,2.271662,,,,,,,,,,,,9.97222222,,,,,,,,,,,
1997-10-01,,2.271662,,29.57018,15.610487,35.375,,22.625,,10.59375,10.200051,,33.75,10.19444444,33.8125,18.958428,6.375032,,43.9375,10.84375,,18.9375,10.984375,13.0625,4.631991
1997-10-02,,2.271662,,30.277293,15.682425,35.6875,,22.5625,,10.375,10.137551,,34.0,10.05555556,34.1875,18.66676,6.250031,,43.1875,10.71875,,19.0,10.921875,13.71875,4.56949
1997-10-03,,2.172894,,30.277293,15.634466,35.75,,23.5,,10.375,9.600048,,33.9375,10.0,34.0625,18.708427,6.333365,,43.25,10.640625,,19.0,10.609375,13.9375,4.527823
1997-10-06,,2.271662,,29.184482,15.754363,35.625,,22.875,,11.0,9.687548,,33.5,10.13888889,34.0,18.041757,6.375032,,43.0625,10.65625,,19.25,10.609375,14.3125,4.555601
1997-10-07,,2.189355,,28.670218,15.778342,35.8125,,23.5625,,11.46875,9.91255,,32.8125,10.19444444,34.0625,17.541754,6.395865,,43.5625,10.609375,,19.375,10.640625,14.28125,4.56949
1997-10-08,,2.2552,,28.798784,15.418653,35.9375,,23.6875,,11.125,9.93755,,33.1875,10.75,33.75,17.250086,6.416699,,42.8125,10.65625,,18.9375,10.5,14.125,4.631991
1997-10-09,,2.271662,,28.541652,15.298757,36.5625,,22.9375,,11.125,9.825049,,32.8125,10.69444444,33.4375,18.00009,6.312532,,42.75,10.515625,,19.4375,10.484375,13.71875,4.604213
1997-10-10,,2.205816,,28.541652,15.442632,36.75,,23.0,,11.46875,9.775049,,32.5,10.88888889,33.875,17.916756,6.291698,,42.9375,10.46875,,20.25,10.40625,13.625,4.597268
1997-10-13,,2.238739,,28.605935,15.562529,36.8125,,22.5,,11.3125,10.00005,,32.75,10.55555556,33.9375,17.875089,6.125031,,43.1875,10.5,,20.0,10.34375,14.25,4.680602
1997-10-14,,2.205816,,28.541652,15.466612,37.625,,21.9375,,11.0625,10.262551,,33.25,11.11111111,33.875,17.791756,5.750029,,42.875,10.5,,20.0625,10.234375,14.03125,4.666713
1997-10-15,,2.238739,5.625,27.705973,15.106923,37.5,,21.875,,10.96875,10.462552,,33.3125,10.72222222,34.0625,18.66676,5.625028,,42.75,10.3125,,18.875,10.171875,13.78125,4.673658
1997-10-16,,2.436275,5.6875,26.741728,15.058965,36.625,,21.5625,,11.03125,10.225051,,32.375,10.88888889,34.1875,18.791761,6.541699,,42.0625,10.265625,,18.3125,10.203125,13.78125,4.64588
1997-10-17,,2.271662,5.59375,25.970332,14.843151,36.5,,20.9375,,10.53125,10.237551,,32.0,10.72222222,34.0,18.250091,6.083364,,41.8125,10.171875,,18.84375,9.984375,13.46875,4.611157
1997-10-20,,2.469198,5.53125,26.227464,15.250799,36.1875,,21.3125,,10.96875,10.387552,,31.9375,10.86111111,34.375,18.916761,5.958363,,43.0,10.453125,,19.09375,10.140625,13.75,4.652824
1997-10-21,,2.567965,5.59375,27.513124,15.538549,35.9375,,21.8125,,11.28125,10.812554,,31.5,10.72222222,34.75,19.33343,5.833363,,44.0,10.921875,,18.75,10.46875,14.03125,4.750048
1997-10-22,,2.567965,5.71875,27.255992,15.538549,36.875,,22.0625,,11.09375,10.770887,,31.75,11.0,34.6875,19.33343,5.833363,,43.75,11.046875,,16.5625,10.828125,13.875,4.763937
1997-10-23,,2.469198,5.59375,26.484596,15.274778,36.1875,,21.6875,,10.625,10.437552,,31.1875,10.77777778,34.625,19.083429,5.666695,,42.9375,10.828125,,16.84375,10.375,13.71875,4.70838
1997-10-24,,2.584427,5.71875,26.99886,15.610487,35.6875,,22.0,,10.5625,10.625053,,31.875,10.61111111,34.75,19.375097,5.250026,,43.0625,10.96875,,17.40625,11.203125,14.0,4.70838
1997-10-27,,2.403352,5.422,26.227464,14.459484,34.0,,20.75,,9.6565,9.666715,,30.875,9.58333333,34.3125,18.208424,4.875024,,41.0,10.875,,17.1875,10.375,13.3125,4.680602
1997-10-28,,2.567965,5.59375,25.841766,15.322736,33.9375,,21.4375,,9.9375,9.729215,,30.0,10.22222222,33.75,19.250096,5.458361,,42.5625,10.6875,,17.3125,10.25,14.0,4.618102
1997-10-29,,2.518581,5.65625,26.613162,15.562529,34.875,,21.3125,,10.4375,10.520886,,30.8125,9.88888889,34.0,19.583431,5.27086,,41.6875,11.015625,,17.5625,10.28125,13.875,4.638935
1997-10-30,,2.699656,5.5,26.99886,15.346716,33.9375,,20.9375,,9.59375,9.916716,,30.0625,9.66666667,34.25,19.041762,5.083359,,41.6875,10.90625,,17.34375,10.109375,14.0,4.611157
1997-10-31,,3.160573,5.5,28.027388,15.394674,33.6875,,20.875,,10.34375,10.270885,,32.0,9.72222222,34.8125,19.33343,5.291693,,42.25,11.015625,,17.65625,11.0,14.0625,4.604213
1997-11-03,,2.963037,5.734375,28.541652,15.682425,34.625,,20.8125,,10.0625,11.145889,,33.75,10.0,35.25,19.500098,5.416694,,43.9375,11.1875,,17.75,10.625,14.4375,4.763937
1997-11-04,,2.897192,5.78125,28.091671,15.634466,34.5625,,20.6875,,10.0,10.833388,,34.0625,10.11111111,35.125,19.750099,5.291693,,43.25,11.375,,17.875,10.515625,14.6875,4.736158
1997-11-05,,2.963037,5.90625,28.027388,15.730383,35.5625,,21.1875,,10.03125,10.72922,,33.5,10.61111111,35.375,20.250101,5.291693,,43.5,11.5625,,17.9375,10.6875,15.0,4.750048
1997-11-06,,2.963037,6.25,27.705973,15.586508,35.6875,,21.0,,9.9375,10.750054,,33.75,10.58333333,35.25,20.166768,5.750029,,43.125,11.546875,,19.125,10.75,15.375,4.736158
1997-11-07,,2.897192,6.4375,27.255992,15.298757,33.9375,,20.75,,9.6875,10.083384,,33.625,10.22222222,34.9375,19.958433,5.958363,,42.625,11.5,,19.34375,10.25,15.15625,4.694491
1997-11-10,,2.831347,6.15625,27.513124,15.298757,34.4375,,20.875,,9.96875,10.208384,,33.0625,10.61111111,35.125,19.916766,6.333365,,42.25,11.703125,,20.3125,10.015625,15.03125,4.729214
1997-11-11,,2.831347,6.0,26.99886,15.442632,34.5,,20.5,,9.90625,10.416719,,32.625,10.61111111,35.875,19.500098,6.500033,,42.75,11.765625,,19.8125,10.015625,15.34375,4.687547
1997-11-12,,2.930114,5.6875,26.613162,15.20284,33.5,,20.4375,,9.5,9.604215,,32.4375,10.55555556,36.5,19.250096,6.291698,,42.0,11.28125,,19.0,9.90625,15.15625,4.638935
1997-11-13,,2.798424,5.5,27.255992,15.346716,33.9375,,20.3125,,9.5625,9.875049,,31.9375,10.30555556,36.5625,19.125096,6.250031,,42.1875,11.265625,,18.6875,9.8125,15.21875,4.756992
1997-11-14,,2.765501,5.4375,27.320275,15.346716,34.0,,20.4375,,9.53125,10.375052,,33.25,10.66666667,36.75,19.33343,6.458366,,42.625,10.78125,,19.28125,9.9375,15.46875,4.680602
1997-11-17,,2.74904,5.8125,26.163181,15.682425,34.625,,20.625,,9.875,10.416719,,34.0,10.36111111,37.1875,20.583436,6.6042,,42.9375,11.125,,19.25,10.296875,15.90625,4.736158
1997-11-18,,2.864269,5.71875,26.098898,15.298757,34.3125,,20.25,,9.84375,10.375052,,34.0,10.27777778,37.0,18.916761,6.500033,,42.125,11.140625,,19.0,10.265625,15.75,4.680602
1997-11-19,,2.699656,5.5625,25.841766,15.274778,33.9375,,20.4375,,9.9375,9.27088,,34.1875,10.11111111,36.875,18.66676,6.541699,,42.625,11.015625,,19.125,10.4375,15.96875,4.680602
1997-11-20,,2.707887,5.5625,25.777483,15.322736,33.125,,20.8125,,9.90625,9.375047,,34.375,10.33333333,36.875,19.33343,6.625033,,43.4375,11.328125,,18.96875,10.5625,16.3125,4.763937
1997-11-21,,2.732579,5.53125,25.7132,15.730383,33.6875,,20.9375,,9.90625,9.500048,,34.3125,10.30555556,36.9375,19.33343,6.541699,,43.625,11.25,,19.0,10.34375,16.4375,4.756992
1997-11-24,,2.584427,5.53125,25.456068,15.418653,32.3125,,20.625,,9.78125,9.083379,,34.0,10.36111111,37.375,19.000095,6.375032,,43.3125,11.203125,,18.65625,10.125,16.21875,4.70838
1997-11-25,,2.584427,5.515625,24.748955,15.370695,31.875,,20.8125,,9.59375,8.354208,,33.9375,10.19444444,37.9375,19.000095,6.083364,,43.375,11.125,,18.4375,9.875,16.125,4.666713
1997-11-26,,2.633811,5.254003,25.134653,15.538549,31.25,,20.6875,,9.75,8.541709,,32.75,9.86111111,38.4375,19.625098,6.291698,,44.0625,10.96875,,18.0,9.765625,16.1875,4.652824
1997-11-28,,2.600888,5.25,25.456068,15.730383,31.5,,20.8125,,9.8125,8.625043,,32.625,9.86111111,38.5625,19.375097,6.208364,,44.0625,10.921875,,18.0,9.78125,16.09375,4.729214
1997-12-01,,2.567965,5.265625,25.648917,15.730383,30.9375,,21.125,,9.8125,8.458376,,33.25,10.02777778,39.25,19.250096,6.291698,,44.625,10.9375,,17.96875,9.828125,16.5625,4.71538
1997-12-02,,2.535043,5.34375,26.227464,15.898238,32.9375,,21.0,,9.75,8.395875,,33.875,10.16666667,38.875,19.875099,5.750029,,44.9375,10.796875,,17.9375,9.71875,16.5,4.701436
1997-12-03,,2.551504,5.5,25.006087,15.898238,31.4375,,21.375,,9.75,8.437542,,34.375,10.13888889,38.5625,19.708432,5.375027,,45.3125,10.75,,18.1875,9.5625,16.5,4.701436
1997-12-04,,2.551504,5.546875,25.7132,15.730383,31.8125,,20.875,,9.6875,8.541709,,34.375,10.13888889,38.6875,19.625098,5.666695,,45.3125,10.6875,,18.15625,9.234375,16.15625,4.722269
1997-12-05,,2.543273,5.6875,25.198936,15.898238,32.8125,,21.0625,,9.6875,9.208379,,33.9375,9.91666667,38.9375,19.833433,5.708362,,45.6875,10.65625,,18.09375,9.28125,16.59375,4.680602
1997-12-08,,2.543273,5.71875,25.648917,15.874259,32.875,,21.0625,,9.78125,9.062545,,33.875,9.77777778,38.75,20.0001,5.93753,,45.875,10.78125,,17.625,9.109375,16.46875,4.673658
1997-12-09,,2.50212,5.59375,25.648917,15.754363,33.0,,20.875,,9.875,9.291713,,34.375,9.36111111,38.5625,20.833438,5.666695,,45.4375,10.859375,,17.34375,9.0,16.375,4.701436
1997-12-10,,2.452736,5.375,25.7132,15.898238,33.0,,20.6875,,9.71875,9.208379,,34.0625,8.66666667,38.5,22.458446,5.291693,,44.9375,10.84375,,17.75,8.953125,16.3125,4.687547
1997-12-11,,2.37043,5.3125,25.134653,15.658446,32.5625,,19.875,,9.5,9.125046,,33.875,8.44444444,38.1875,21.750109,5.062525,,44.5,10.75,,17.375,8.796875,16.46875,4.666713
1997-12-12,,2.37866,5.15625,25.584634,15.778342,30.375,,19.0,,9.40625,9.27088,,33.5,8.58333333,38.875,22.416779,4.916691,,44.0625,11.0,,17.625,8.625,15.90625,4.659769
1997-12-15,,2.419814,5.21875,25.456068,15.970176,30.625,,19.0,,9.53125,9.250046,,34.0625,8.63888889,39.75,22.583446,4.645857,,44.25,11.3125,,17.625,8.71875,15.78125,4.64588
1997-12-16,,2.428044,5.21875,25.648917,15.922217,30.8125,,19.0,,9.6875,9.312547,,33.875,8.94444444,39.75,23.375117,4.833358,,44.1875,11.5,,17.421875,8.765625,15.1875,4.652824
1997-12-17,,2.395122,5.03125,25.777483,16.138031,31.5,,19.0,,9.59375,9.312547,,34.375,9.11111111,39.9375,23.916786,4.66669,,44.25,11.75,,16.75,8.859375,15.5625,4.750048
1997-12-18,,2.452736,5.0,25.456068,15.610487,31.9375,,18.6875,,9.46875,9.250046,,34.0625,8.83333333,40.125,22.833448,4.541689,,44.0625,11.453125,,16.8125,8.671875,15.0625,4.652824
1997-12-19,,2.411583,4.9375,24.877521,15.394674,31.625,,19.0,,9.34375,9.187546,,34.0,8.63888889,40.0,22.083444,4.583356,,44.0,11.328125,,16.375,8.78125,15.0,4.604213
1997-12-22,,2.403352,5.0625,25.327502,15.682425,32.5,,18.5,,9.875,9.041712,,33.25,8.80555556,40.75,21.708442,4.833358,,44.9375,11.546875,,16.5,8.703125,14.875,4.652824
1997-12-23,,2.419814,5.0,25.391785,15.20284,32.0,,18.25,,9.9375,9.083379,,32.875,9.02777778,41.6875,20.791771,4.833358,,43.75,11.46875,,16.0625,8.75,14.75,4.715325
1997-12-24,,2.403352,4.9375,25.134653,14.915089,31.875,,18.375,,9.875,9.104212,,33.25,8.97222222,41.875,20.250101,4.895858,,44.375,11.65625,,15.9375,8.765625,14.125,4.701436
1997-12-26,,2.411583,5.0625,25.134653,15.154882,32.5625,,18.5,,10.03125,9.187546,,33.1875,9.0,41.625,20.416769,5.000025,,43.8125,11.609375,,15.625,8.75,14.25,4.680602
1997-12-29,,2.436275,5.28125,25.584634,15.706404,32.25,,19.0,,10.09375,9.166713,,33.1875,9.11111111,42.5,20.333435,4.833358,,45.375,12.125,,15.21875,8.8125,14.625,4.701436
1997-12-30,,2.419814,5.28125,24.877521,16.281906,32.375,,20.0,,10.375,9.229213,,33.6875,9.13888889,42.4375,20.66677,5.104192,,46.375,12.4375,,16.359375,8.890625,15.6875,4.736158
1997-12-31,,2.535043,5.59375,24.298974,16.185989,32.75,,19.625,,10.40625,9.166713,,33.0625,9.30555556,42.375,21.000105,5.375027,,47.1875,12.59375,,16.625,9.03125,15.6875,4.694491
1998-01-02,,2.469198,5.78125,24.877521,16.185989,33.5,,19.0625,,10.4375,9.041712,,33.1875,8.91666667,41.75,20.833438,5.250026,,45.5625,12.390625,,16.84375,8.984375,15.46875,4.763937
1998-01-05,,2.444506,5.625,25.134653,16.281906,32.0625,,18.75,,10.90625,9.000045,,33.625,8.91666667,41.1875,21.125106,5.041692,,45.375,12.3125,,16.5,8.765625,15.5,4.736158
1998-01-06,,2.50212,5.421875,24.877521,16.114051,31.75,,18.5,,10.625,8.916711,,33.6875,8.80555556,40.5625,22.00011,5.458361,,44.1875,12.265625,,16.1875,8.640625,15.40625,4.715325
1998-01-07,,2.50212,5.5625,24.684672,16.090072,31.375,,18.375,,10.4375,8.687543,,33.5625,8.97222222,40.125,21.416774,5.541694,,44.1875,12.265625,,15.90625,8.75,15.375,4.680602
1998-01-08,,2.600888,5.75,24.748955,15.898238,31.25,,18.0625,,10.59375,8.416709,,33.6875,9.08333333,40.5625,21.33344,5.375027,,44.125,12.234375,,15.25,8.625,15.03125,4.604213
1998-01-09,,2.600888,5.5,24.684672,15.034985,29.6875,,17.8125,,9.84375,8.166707,,33.4375,8.88888889,40.1875,20.500103,5.083359,,42.9375,12.15625,,14.8125,8.5,15.0625,4.500045
1998-01-12,,2.485659,5.34375,24.620389,15.322736,30.3125,,17.625,,10.21875,7.916706,,33.0,8.63888889,40.3125,20.916771,5.020858,,44.0,12.25,,15.125,8.40625,15.59375,4.479211
1998-01-13,,2.567965,5.4375,24.620389,15.610487,30.5,,17.75,,10.21875,8.125041,,32.5,8.75,40.125,21.833443,5.416694,,43.6875,12.484375,,16.40625,8.46875,15.625,4.513934
1998-01-14,,2.50212,5.359375,24.684672,15.898238,30.75,,19.1875,,10.5,8.291708,,32.875,9.08333333,40.1875,21.875109,6.166698,,43.875,12.375,,15.3125,8.734375,16.09375,4.673658
1998-01-15,,2.50212,5.375,25.07037,16.257927,30.875,,19.1875,,10.46875,8.291708,,33.25,9.05555556,40.25,21.833443,5.916696,,43.5625,12.09375,,15.75,9.0625,15.75,4.64588
1998-01-16,,2.50212,5.5625,25.456068,16.090072,31.0625,,18.875,,10.59375,8.312542,,34.5,8.66666667,40.0,22.208444,5.791696,,44.125,12.046875,,15.6875,9.46875,16.21875,4.652824
1998-01-20,,2.567965,5.78125,25.7132,16.401802,31.5625,,19.375,,11.21875,8.333375,,33.5625,8.61111111,39.75,23.625118,6.00003,,46.0625,12.0625,,16.0,9.25,16.8125,4.743103
1998-01-21,,2.551504,5.75,25.391785,16.497719,31.625,,19.125,,11.46875,8.312542,,34.125,8.44444444,40.25,23.166783,6.166698,,45.125,11.953125,,15.9375,9.203125,16.4375,4.729214
1998-01-22,,2.567965,5.65625,24.813238,16.185989,31.1875,,18.75,,11.375,8.291708,,34.5625,8.61111111,41.1875,22.500113,6.437532,,44.5625,11.84375,,15.6875,9.28125,16.59375,4.736158
1998-01-23,,2.594699,5.8125,24.748955,15.970176,30.5625,,18.9375,,11.53125,8.291708,,34.9375,8.11111111,41.0,22.166778,6.458366,,44.3125,11.859375,,15.453125,8.875,16.46875,4.666713
1998-01-26,,2.600888,5.71875,24.748955,15.946197,31.0,,18.5,,11.8125,8.00004,,35.125,7.97222222,41.25,21.833443,6.458366,,44.5625,11.71875,,16.03125,8.671875,16.21875,4.777826
1998-01-27,,2.600888,5.625,25.07037,16.281906,30.9375,,18.125,,11.84375,7.750039,,35.5625,7.91666667,41.1875,22.250111,6.458366,,44.9375,11.546875,,16.28125,8.6875,16.375,4.736158
1998-01-28,,2.666733,5.65625,25.648917,16.114051,31.5,,17.875,,12.21875,7.625038,,35.625,7.94444444,40.625,21.958443,6.625033,,44.5,11.640625,,16.03125,8.578125,16.4375,4.666713
1998-01-29,,2.732579,5.71875,26.163181,16.257927,32.25,,17.6875,,12.15625,8.104207,,35.75,7.88888889,40.125,22.333445,6.583366,,44.6875,11.640625,,16.03125,8.96875,16.8125,4.701436
1998-01-30,,2.732579,5.71875,26.35603,16.018134,32.25,,17.5,,12.0625,8.125041,,35.5625,8.0,40.0,23.000115,6.458366,,44.25,11.65625,,15.875,8.953125,16.5625,4.666713
1998-02-02,,2.765501,6.0,26.741728,16.305885,33.9375,,18.125,,12.28125,8.66671,,35.875,8.0,40.5,23.166783,6.312532,,46.25,11.765625,,16.03125,9.046875,17.53125,4.770881
1998-02-03,,2.732579,6.0,26.99886,16.353844,34.375,,18.4375,,12.28125,9.583381,,35.875,8.19444444,40.8125,23.33345,6.250031,,45.5,11.9375,,15.90625,9.078125,17.84375,4.777826
1998-02-04,,2.732579,5.90625,26.870294,16.329864,34.4375,,19.0,,12.4375,9.916716,,35.6875,8.27777778,40.5,23.166783,6.333365,,46.9375,12.046875,,16.375,8.90625,17.5625,4.777826
1998-02-05,,2.699656,5.875,26.806011,16.090072,34.75,,18.75,,12.875,9.687548,,35.8125,8.36111111,40.1875,23.291783,6.187531,,45.875,12.046875,,17.0,9.34375,17.46875,4.854215
1998-02-06,,2.666733,5.9375,26.99886,16.138031,33.8125,,19.0,,12.84375,9.708382,,35.75,8.80555556,40.3125,23.791786,5.93753,,46.125,12.015625,,17.6875,9.71875,17.40625,4.840326
1998-02-09,,2.765501,6.0625,26.870294,16.425781,33.25,,18.4375,,12.9375,9.708382,,35.6875,8.47222222,40.4375,23.500118,6.00003,,46.4375,12.109375,,17.0,9.796875,17.625,4.819493
