datetime,TMO,UBER,BKNG,VZ,SCHW,ISRG,QCOM,C,TXN,BA,BLK,ACN,GEV,AMGN,SPGI,ADBE,BSX,SYK,ETN,AMAT,NEE,ANET,DHR,PGR,HON
1997-10-01,35.039976,,,37.466218,7.972302,,3.813643,221.747923,16.398438,53.9375,,,,11.8125,16.984375,6.226563,13.734375,10.8125,20.014297,11.851563,6.375,,4.870677,8.979077,40.877084
1997-10-02,35.201203,,,37.494994,8.027858,,3.759822,223.747453,16.75,52.5,,,,11.8125,17.34375,6.273438,13.875,10.46875,20.64647,12.085938,6.40625,,4.912665,9.078034,39.925071
1997-10-03,34.932491,,,37.552545,8.444529,,3.967419,229.346138,16.6875,52.0,,,,11.671875,17.28125,6.1875,14.15625,10.265625,20.350559,12.234375,6.359375,,4.89692,9.114492,40.103573
1997-10-06,35.254945,,,38.156839,8.472307,,3.928975,238.144072,16.304688,52.625,,,,11.921875,17.328125,6.328125,14.5,10.203125,21.063434,12.0625,6.375,,4.912665,9.249908,40.103573
1997-10-07,35.469914,,,38.962564,8.29175,,3.944353,240.743462,16.609375,53.8125,,,,12.359375,17.453125,6.382813,14.34375,9.9375,21.345894,12.273438,6.375,,4.902168,9.588446,39.86557
1997-10-08,34.932491,,,38.444598,8.13897,,3.982797,238.543978,17.203125,54.25,,,,12.476563,17.03125,6.40625,13.8125,9.734375,21.292092,12.84375,6.335938,,4.881174,9.291574,39.86557
1997-10-09,34.502553,,,37.207235,8.00008,,4.040463,238.344025,17.132813,53.875,,,,11.953125,16.875,6.4375,14.0,9.25,22.166372,12.890625,6.273438,,4.928411,9.286365,39.746568
1997-10-10,34.233841,,,36.8907,8.00008,,4.15195,238.344025,17.296875,54.3125,,,,12.015625,17.1875,6.289063,14.125,9.828125,21.547651,13.007813,6.242188,,4.902168,9.244699,39.270561
1997-10-13,35.093718,,,37.351114,8.097303,,4.148106,240.943415,17.625,54.75,,,,12.234375,17.4375,6.484375,14.265625,9.859375,21.305542,13.1875,6.226563,,4.917914,9.1197,39.211061
1997-10-14,35.416172,,,36.948251,8.069525,,4.105818,241.343321,16.945313,54.8125,,,,12.09375,17.390625,6.5,14.234375,10.03125,21.52075,12.71875,6.304688,,4.912665,9.21345,39.984572
1997-10-15,35.631141,,,37.523769,8.111192,,4.113506,238.943884,16.875,54.6875,,,,12.015625,17.21875,6.421875,14.59375,9.796875,21.588002,12.265625,6.226563,,4.891671,9.218658,39.568066
1997-10-16,34.986233,,,37.034579,8.055636,,3.986641,236.344495,16.21875,52.5,,,,11.953125,17.34375,6.21875,14.6875,9.875,21.870462,11.0625,6.242188,,4.875925,9.093659,40.282076
1997-10-17,34.986233,,,37.293562,7.86119,,3.782888,233.145246,15.75,51.875,,,,11.875,16.875,5.984375,14.625,9.6875,21.413146,10.390625,6.320313,,4.839185,9.187408,39.270561
1997-10-20,35.039976,,,37.725201,7.986191,,3.928975,234.944823,15.234375,53.5625,,,,11.71875,17.0625,6.289063,14.5,9.890625,21.318993,10.109375,6.4375,,4.891671,9.208241,40.222575
1997-10-21,35.14746,,,37.926632,8.388973,,3.93282,240.543509,15.96875,54.0,,,,11.5625,17.46875,6.25,14.359375,9.96875,22.152922,10.234375,6.53125,,4.854931,9.400948,41.412592
1997-10-22,34.932491,,,38.732357,7.888968,,3.89822,244.342616,15.625,49.875,,,,11.484375,17.25,6.140625,12.75,10.03125,22.112571,10.125,6.53125,,4.865428,9.328032,38.318548
1997-10-23,34.180099,,,37.984184,7.902857,,3.775199,239.34379,15.109375,49.0625,,,,12.0,17.0,6.125,12.34375,9.8125,21.628354,9.25,6.5,,4.755208,9.234283,37.485536
1997-10-24,33.642676,,,37.753977,7.805634,,3.64449,233.345199,13.984375,48.4375,,,,12.0625,16.6875,6.171875,12.15625,9.484375,21.493849,8.359375,6.5625,,4.765705,9.15095,36.652524
1997-10-27,30.955561,,,36.430285,6.86118,,3.367693,207.951163,12.84375,43.0,,,,11.672,16.078125,5.765625,11.203125,8.96875,20.552316,7.625,6.5,,4.613497,8.921786,32.011458
1997-10-28,32.245376,,,37.293562,7.555631,,3.652179,223.347547,13.96875,48.0,,,,12.085938,16.609375,6.066406,12.0,9.067383,21.22484,8.53125,6.460938,,4.487531,9.1197,35.224504
1997-10-29,31.600469,,,36.718044,7.43063,,3.525313,225.54703,14.304688,47.4375,,,,11.84375,16.59375,6.117188,11.84375,9.4375,21.117236,8.40625,6.429688,,4.52952,9.010327,34.748497
1997-10-30,32.137892,,,36.372734,7.250073,,3.336938,222.147829,12.859375,47.04687,,,,11.859375,16.609375,6.015625,11.40625,9.34375,20.875127,7.984375,6.40625,,4.498028,8.796787,33.974986
1997-10-31,32.08415,,,36.833148,7.583409,,3.467647,223.947406,13.335938,48.0,,,,12.3125,16.34375,5.96875,11.375,9.296875,20.794425,8.34375,6.460938,,4.603,8.687413,34.27249
1997-11-03,32.944026,,,37.437442,8.027858,,3.636801,228.346373,14.390625,47.6875,,,,13.125,16.78125,6.109375,11.640625,9.59375,20.928929,9.015625,6.53125,,4.686977,8.718663,34.331991
1997-11-04,32.890284,,,37.351114,8.527863,,3.859776,233.345199,14.875,47.0,,,,13.296875,17.046875,6.054688,12.109375,9.421875,21.063434,9.34375,6.59375,,4.686977,8.749913,35.046001
1997-11-05,33.96513,,,37.725201,8.805644,,4.005863,238.543978,15.09375,46.125,,,,13.21875,17.0625,6.007813,13.34375,9.40625,21.063434,9.609375,6.578125,,4.89692,8.713455,34.867498
1997-11-06,34.341326,,,36.8907,8.722309,,3.798266,240.743462,14.6875,46.0625,,,,12.890625,17.25,5.984375,13.34375,9.484375,21.090335,9.09375,6.554688,,4.959903,8.791579,35.284004
1997-11-07,33.481449,,,37.753977,8.444529,,3.844398,237.34426,14.09375,45.75,,,,13.140625,16.765625,5.96875,13.71875,9.484375,20.95583,8.796875,6.515625,,4.923163,8.69783,33.915485
1997-11-10,33.373965,,,37.351114,8.319528,,3.878998,233.745105,13.546875,46.625,,,,12.96875,16.75,5.882813,13.5,9.640625,20.969281,8.09375,6.632813,,4.996643,8.645747,34.034487
1997-11-11,33.588934,,,38.415822,8.180637,,3.832865,230.945763,13.28125,46.25,,,,12.875,16.8125,5.890625,13.46875,9.53125,21.130686,7.78125,6.757813,,4.965151,8.489498,34.212989
1997-11-12,32.514088,,,38.070511,7.763967,,3.813643,220.548204,11.71875,46.4375,,,,12.375,16.609375,5.65625,12.859375,9.40625,20.444712,7.203125,6.804688,,4.912665,8.421791,33.201475
1997-11-13,32.299119,,,37.811528,7.680632,,3.998174,222.747688,12.1875,47.3125,,,,12.65625,16.65625,5.71875,13.328125,9.5,20.538866,7.78125,6.765625,,4.870677,8.48429,33.439478
1997-11-14,32.514088,,,38.387046,8.222304,,4.294193,225.946937,11.8125,48.0,,,,13.21875,16.890625,6.0625,13.75,9.5625,20.390911,8.203125,6.742188,,4.865428,8.406166,34.27249
1997-11-17,32.56783,,,38.876237,8.347306,,4.24806,235.144776,12.65625,49.6875,,,,13.234375,17.078125,6.09375,14.0625,9.75,20.444712,8.78125,6.820313,,4.991394,8.63533,34.034487
1997-11-18,32.299119,,,39.739513,8.180637,,4.198083,230.945763,12.328125,49.5625,,,,13.0625,16.921875,5.265625,13.625,9.8125,20.189154,8.625,6.742188,,4.944157,8.671788,34.331991
1997-11-19,32.514088,,,39.883393,8.444529,,4.224994,234.944823,12.25,50.0,,,,12.96875,17.046875,5.375,13.234375,9.75,20.08155,8.734375,6.828125,,5.049128,8.593664,35.581509
1997-11-20,33.158995,,,39.451755,8.763977,,4.367237,244.741299,12.96875,49.9375,,,,12.921875,17.828125,5.328125,13.171875,9.879883,20.108451,9.40625,6.914063,,4.986146,8.781162,36.057515
1997-11-21,32.352861,,,39.912169,8.70842,,4.28266,242.041946,13.03125,50.125,,,,12.796875,17.375,5.367188,13.1875,9.75,20.068099,9.09375,6.90625,,5.022886,8.926994,35.938514
1997-11-24,31.600469,,,38.933788,8.555641,,4.121195,237.543025,12.4375,49.625,,,,12.734375,17.3125,5.148438,12.5,9.5,20.014297,8.28125,6.921875,,4.89692,8.69783,34.926999
1997-11-25,31.86918,,,39.912169,8.444529,,4.205772,236.943169,12.5,51.375,,,,12.671875,17.0,5.289063,11.125,9.6875,20.135352,8.40625,6.953125,,4.849683,8.499915,34.867498
1997-11-26,32.030407,,,40.660342,8.541752,,4.201927,236.343313,12.21875,51.875,,,,12.625,17.046875,5.21875,11.328125,9.875,20.095,8.046875,6.992188,,4.870677,8.645747,35.462507
1997-11-28,31.654211,,,41.091981,8.56953,,4.167328,244.141443,12.40625,53.125,,,,12.78125,17.109375,5.25,11.296875,9.84375,20.323658,8.25,6.992188,,4.93366,8.499915,35.343505
1997-12-01,32.352861,,,41.034429,8.958423,,4.359548,259.437774,12.953125,53.9375,,,,13.015625,17.265625,5.351563,11.5625,9.40625,20.242955,8.132813,7.0625,,5.049128,8.796787,37.128531
1997-12-02,32.944026,,,40.832998,9.041757,,4.182706,263.336839,11.625,54.0,,,,12.75,17.25,5.203125,11.375,9.6875,20.417812,8.296875,6.992188,,5.054377,9.15095,37.128531
1997-12-03,32.08415,,,41.207084,9.250093,,4.032774,271.134968,11.6875,53.875,,,,13.0,17.265625,5.265625,11.5625,9.765625,20.579217,8.265625,6.945313,,5.08062,8.869703,36.831027
1997-12-04,31.331757,,,41.37974,9.375094,,3.967419,269.035472,11.125,52.4375,,,,13.234375,17.203125,5.203125,11.46875,9.6875,20.444712,8.28125,6.9375,,5.106863,9.1197,36.831027
1997-12-05,32.245376,,,41.293412,9.361205,,4.121195,268.735544,11.546875,52.375,,,,13.09375,17.234375,5.125,11.578125,9.875,20.511965,8.75,6.921875,,5.085868,9.010327,37.664038
1997-12-08,32.944026,,,41.408515,9.652874,,4.217305,266.935975,11.78125,51.4375,,,,13.0625,17.421875,5.3125,11.328125,9.890625,20.323658,8.796875,6.851563,,5.143603,9.187408,36.890527
1997-12-09,32.137892,,,41.264636,9.486206,,4.005863,261.237342,11.3125,50.75,,,,13.171875,17.3125,5.203125,11.0625,9.890625,20.323658,8.390625,6.914063,,5.127857,9.176992,36.831027
1997-12-10,32.030407,,,41.72505,9.347316,,3.844398,257.638205,11.078125,49.9375,,,,13.1875,17.71875,5.078125,11.25,9.734375,20.256406,7.9375,6.960938,,5.127857,9.208241,35.819512
1997-12-11,31.492984,,,41.063205,9.125091,,3.652179,251.339716,10.53125,48.625,,,,13.125,17.53125,4.882813,10.78125,9.6875,20.041198,6.828125,6.945313,,5.127857,8.942619,34.510493
1997-12-12,31.86918,,,41.207084,9.208425,,3.117807,252.839356,10.21875,49.0,,,,13.1875,17.3125,4.40625,10.546875,9.6875,19.920144,6.53125,7.046875,,5.164597,9.109284,34.807998
1997-12-15,32.460346,,,41.638723,9.236203,,3.12934,258.53799,10.625,48.9375,,,,13.484375,17.765625,4.53125,10.828125,9.375,20.121901,7.015625,7.15625,,5.148851,9.426989,34.27249
1997-12-16,33.212738,,,41.322188,9.361205,,3.229295,263.336839,11.0,50.625,,,,13.5,18.65625,4.335938,10.96875,9.515625,19.731838,7.25,7.15625,,5.238077,9.609279,35.165003
