datetime,TJX,GILD,BX,PFE,DE,COF,KKR,PANW,UNP,LOW,APH,LRCX,ADP,MU,CMCSA,COP,KLAC,VRTX,MDT,SNPS,CRWD,NKE,ADI,WELL,CB
1997-09-25,,1.441406,,,,,,,,,,,,,,,,,,,,,,,
1997-09-26,,1.40625,,,,,,,,,,,,,,,,,,,,,,,
1997-09-29,,1.40625,,,,,,,,,,,,,,,,,,,,,,,
1997-09-30,,1.386719,,,,,,,,,0.673828,,,,,,,18.875,,,,,,,
1997-10-01,1.945313,1.373047,,19.037765,27.375,15.291514,,,15.8125,4.835938,0.6875,1.466652,19.256746,17.0,4.333355,19.947038,32.5625,17.75,23.53125,20.625,,6.609375,16.125,27.75,31.35416667
1997-10-02,1.9375,1.316406,,19.511735,26.84375,15.187348,,,15.796875,4.875,0.694336,1.5374846,19.92162,16.96875,4.281271,19.65795,33.34375,17.0,24.21875,20.875,,6.617188,17.1875,27.4375,31.79166667
1997-10-03,1.953125,1.386719,,19.511735,26.15625,15.416513,,,15.78125,4.867188,0.7070315,1.5124849,19.82312,16.96875,4.312522,19.585678,33.875,17.4375,24.6875,21.25,,6.648438,17.53125,27.5,33.25
1997-10-06,1.949219,1.402344,,19.827714,26.59375,15.562344,,,15.78125,4.804688,0.727539,1.433319,19.92162,17.5,4.343772,19.706131,33.3125,17.125,24.84375,21.5625,,6.53125,17.3125,27.625,33.33333333
1997-10-07,1.925781,1.388672,,20.538668,27.75,15.541511,,,15.984375,4.8125,0.7851565,1.49686,20.192495,18.25,4.343772,19.609769,33.78125,16.6875,25.25,21.5,,6.578125,17.5625,27.5,33.47916667
1997-10-08,1.882813,1.390625,,20.360929,27.53125,15.33318,,,15.765625,4.734375,0.7753905,1.5874841,20.06937,18.59375,4.333355,19.2725,35.0625,16.625,24.375,20.9375,,6.5,17.8125,27.125,33.45833333
1997-10-09,1.859375,1.394531,,20.222688,27.6875,15.458179,,,15.625,4.9375,0.7802735,1.5374846,19.847745,18.8125,4.333355,19.248409,35.25,17.75,24.53125,22.46875,,6.476563,17.875,27.125,33.33333333
1997-10-10,1.863281,1.345703,,20.341181,27.8125,15.354013,,,15.453125,5.0,0.783203,1.5249848,19.896995,18.9375,4.333355,19.224319,35.9375,18.1875,24.1875,22.03125,,6.484375,17.875,27.125,32.95833333
1997-10-13,1.835938,1.339844,,20.499171,28.46875,15.687343,,,15.75,5.0625,0.779297,1.5354013,20.044745,19.28125,4.333355,19.103866,35.8125,17.1875,24.0,21.9375,,6.507813,18.125,27.0,32.0
1997-10-14,1.835938,1.339844,,21.447109,28.09375,15.854008,,,15.625,5.28125,0.7783205,1.4583188,19.305996,18.75,4.375022,19.055684,34.0,17.4375,23.96875,21.46875,,6.53125,17.65625,26.875,32.66666667
1997-10-15,1.820313,1.3125,,21.447109,28.84375,15.604011,,,15.59375,5.273438,0.796875,1.4208191,20.16787,18.3125,4.458356,19.031594,33.21875,17.5,24.3125,19.90625,,6.515625,17.8125,27.1875,32.0
1997-10-16,1.820313,1.226563,,21.071883,28.375,16.249838,,,15.359375,5.367188,0.8125,1.4041526,20.290995,17.5625,4.479189,18.935231,31.125,16.9375,24.46875,20.3125,,6.40625,17.25,27.375,32.5
1997-10-17,1.789063,1.191406,,20.597914,28.21875,15.99984,,,15.203125,5.359375,0.8320315,1.2791539,19.847745,16.75,4.468772,18.911141,29.0,16.1875,24.28125,19.375,,6.25,16.84375,27.1875,31.70833333
1997-10-20,1.8125,1.210938,,21.111381,28.78125,15.895674,,,15.59375,5.328125,0.84375,1.2708206,20.21712,16.59375,4.614606,19.224319,29.0625,16.25,24.34375,19.9375,,6.242188,17.03125,27.625,32.0
1997-10-21,1.921875,1.261719,,22.434545,28.5,16.083173,,,16.078125,5.5,0.875,1.3124869,20.537245,16.625,4.583356,19.176138,30.9375,16.625,24.40625,19.75,,6.109375,17.0625,27.375,32.95833333
