Pair,p-value
BRK.B-RJF,3.175187747114325e-12
SHW-TYL,1.0849689124133943e-10
EQIX-ITW,8.12516355181399e-10
EQIX-ROP,1.189679490016487e-09
EQIX-APD,1.6860345943409797e-09
BRK.B-APH,3.2047729692894176e-09
CPRT-MPWR,6.747924139056988e-09
TT-WSM,9.985265790553948e-09
BRK.B-MAR,1.0865436928506552e-08
FICO-WSM,1.6309901940639782e-08
FICO-KLAC,2.581756733404074e-08
CPRT-LRCX,2.8842583093661987e-08
RJF-WRB,3.159751523230679e-08
EQIX-CHD,3.17267281055961e-08
URI-KLAC,3.603050449601538e-08
AJG-URI,6.051175474942863e-08
RSG-RJF,6.351368272392197e-08
MA-VRSK,6.607956680640998e-08
ERIE-DECK,1.0877988276205632e-07
TMO-DHR,1.1562096629160091e-07
CDNS-KLAC,1.1729184599060924e-07
GWW-HUBB,1.228119518604214e-07
MPWR-LRCX,1.270484502398647e-07
ACGL-HUBB,1.9376602042113373e-07
TPL-KLAC,2.3640648610154643e-07
MPWR-SNPS,2.4105618268670653e-07
SBUX-EQIX,2.73838281867401e-07
TT-PGR,3.0007442734264805e-07
AJG-DECK,3.1722883070752787e-07
ETN-PGR,3.3760935527282185e-07
AON-ADP,3.506320874814426e-07
MCO-WTW,3.630068503567592e-07
TPL-PGR,3.733022116283777e-07
BALL-KMX,3.8138612930224453e-07
WTW-SPGI,4.183682168564314e-07
WTW-ADI,4.564976153992944e-07
MSFT-MPWR,5.21873540877878e-07
DECK-PGR,5.469247278942257e-07
ERIE-VRTX,5.694486909363456e-07
NSC-LHX,5.866802278690935e-07
MPWR-AMAT,5.886270289510909e-07
AAPL-MPWR,5.940427711815489e-07
EQIX-ROK,6.111275218902207e-07
DECK-KLAC,6.13409441207706e-07
BRK.B-HLT,7.618383952573987e-07
LLY-FICO,7.741053091395289e-07
AJG-ETN,9.127774363745104e-07
MPWR-BRO,9.325341690485707e-07
ED-GL,9.894716670803538e-07
EQIX-HON,1.0141721370112916e-06
PGR-KLAC,1.0171807503788057e-06
PGR-APH,1.1046042951330814e-06
URI-PGR,1.1218219140555754e-06
WSM-KKR,1.1625009170350997e-06
VRSK-WTW,1.174495226424226e-06
CPRT-ERIE,1.2506458311768872e-06
MAR-VRTX,1.299819297583304e-06
CHD-UNP,1.3895611609037095e-06
AJG-HUBB,1.4746298049498879e-06
WAT-ACN,1.4779383826982374e-06
DHI-BRO,1.6996570256357741e-06
EQIX-DGX,1.713729113921469e-06
AJG-SNPS,1.7250522635767036e-06
RMD-TDY,1.7856533786124558e-06
WTW-DOV,1.864263446231907e-06
FICO-DECK,1.9173441573647966e-06
CPRT-DHI,1.9753939352317943e-06
TPL-SNPS,2.1026503332165816e-06
BRO-DECK,2.40715647023663e-06
ALGN-CZR,2.496517669228831e-06
EQIX-YUM,2.533196368675548e-06
TGT-TECH,2.5561454851558686e-06
MAR-CBOE,2.639863303028483e-06
PH-ETN,2.9132477964355258e-06
TPL-APH,3.1581696133284776e-06
NVR-ERIE,3.1662566830148173e-06
HD-TYL,3.290120212921359e-06
BRK.B-MLM,3.298554178573139e-06
EQIX-NDSN,3.3691098308760556e-06
TT-KLAC,3.374045204112738e-06
URI-WSM,3.421901654484197e-06
WST-POOL,3.461099649928752e-06
EQIX-DTE,3.473143283237935e-06
JNJ-EQIX,3.475808646537909e-06
EQIX-AON,3.509552518764044e-06
GOOGL-BRK.B,3.540069173105457e-06
ICE-WTW,3.611489889229915e-06
GOOGL-MPWR,3.822803869996999e-06
WTW-SYK,3.853107706500983e-06
DTE-GL,4.028497777990093e-06
APO-PGR,4.062678746966454e-06
MO-FOXA,4.162184503944518e-06
MOH-TMO,4.200722930881835e-06
MLM-MPWR,4.37439189923576e-06
MCK-HUBB,4.377332572393994e-06
AJG-MPWR,4.43228240941633e-06
ERIE-LRCX,4.558857530497461e-06
WTW-MU,4.559322920887806e-06
DHI-DECK,4.90650360010454e-06
MSFT-LRCX,4.990865868521735e-06
ITW-EFX,5.041674179647152e-06
SHW-DOV,5.128704114816803e-06
DHI-LRCX,5.178114001403102e-06
EQIX-FDS,5.396787748818202e-06
AMT-MKC,5.41496009761538e-06
ADSK-RMD,5.843908161920854e-06
PH-PGR,5.862113813458971e-06
MAR-ERIE,6.028040731546592e-06
SHW-WTW,6.1568469788491616e-06
EQIX-AMGN,6.1762067867351154e-06
LLY-DECK,6.27080410189678e-06
CMG-DHI,6.593975558843319e-06
BR-ROL,6.824422127687848e-06
WTW-ADP,6.948580461955354e-06
EQIX-MNST,7.047496084304204e-06
HD-ROL,7.163517036816916e-06
TER-MOH,7.216147144725259e-06
NSC-RMD,7.714329225906519e-06
TGT-CRL,7.718708778188465e-06
TT-URI,7.93180523883383e-06
IR-NVR,8.118239461521544e-06
IFF-HAS,8.88655569935015e-06
EQIX-ECL,8.925594316248789e-06
ACGL-DECK,8.984494678068985e-06
URI-TPL,9.221822104368288e-06
RSG-APH,9.518030501073031e-06
NSC-NEE,9.746548915400248e-06
FICO-ETN,9.77443144824571e-06
EQIX-EFX,1.009945648264275e-05
DXCM-WST,1.0213527562823209e-05
PG-EQIX,1.0269238463209e-05
CSX-WAT,1.0378572080950386e-05
MAR-AFL,1.0532726472671757e-05
WAT-NDSN,1.0838424134007577e-05
WSM-ETN,1.167676576219632e-05
HUBB-ERIE,1.1690050574081903e-05
CCI-KMX,1.1917732486853615e-05
NSC-DPZ,1.1978084972714821e-05
AAPL-ODFL,1.2195776613610825e-05
RMD-STE,1.2350349607382854e-05
GOOGL-WRB,1.2527825413769114e-05
BR-SYK,1.2562198231964356e-05
WTW-PTC,1.3005181107016513e-05
SHW-ROL,1.3059114944870106e-05
AJG-DHI,1.3193901810873241e-05
PWR-KLAC,1.3211159086555498e-05
EQIX-UNP,1.328082346306963e-05
BRK.B-HUBB,1.3517829952072465e-05
ERIE-ETN,1.4256880113411902e-05
EQIX-EG,1.4291142735557417e-05
EFX-CINF,1.4637215218286923e-05
MSCI-TER,1.4881647112267726e-05
APD-RMD,1.4918387643157735e-05
STE-TMO,1.5025932293081062e-05
ROST-CHD,1.5440492716989392e-05
EQIX-EXPD,1.546339914300044e-05
HD-DPZ,1.5483510779519528e-05
EQIX-JKHY,1.5500170571866308e-05
CDNS-AJG,1.5634105506823686e-05
MPWR-DECK,1.5641735629633056e-05
EQIX-LH,1.5881116060349962e-05
MTD-TMO,1.590173394689019e-05
TPL-ETN,1.5948534037837034e-05
EPAM-TECH,1.6084541909658474e-05
LNT-HON,1.636162938281824e-05
CTAS-TPL,1.64166058013229e-05
AFL-RJF,1.7189294827485106e-05
EFX-DPZ,1.7350589316865528e-05
COST-TPL,1.82499094215307e-05
MLM-ERIE,1.849954299851508e-05
PWR-JBL,1.875132590434981e-05
AJG-KLAC,1.940870919484103e-05
CCI-ES,1.9549936124629683e-05
ABBV-RJF,1.974885913514353e-05
CTAS-PGR,2.077540220092866e-05
EQIX-TYL,2.103542815646762e-05
DECK-BLDR,2.1238175991250404e-05
WSM-PGR,2.1343012225566475e-05
ROL-SYK,2.1418291192794555e-05
LII-ERIE,2.163631969906672e-05
MO-FOX,2.214639023596296e-05
AJG-AMP,2.221652919525739e-05
STE-ACN,2.234116583147138e-05
MCHP-WST,2.2418989597105027e-05
DXCM-TER,2.2536440376093873e-05
PH-TPL,2.2578088373735274e-05
EW-AWK,2.273853639259069e-05
PSA-HSIC,2.2739067142570184e-05
ORLY-APH,2.314010491052444e-05
DXCM-POOL,2.331764908650686e-05
COO-IEX,2.3748728394619157e-05
WAT-HON,2.428895098284805e-05
MSCI-EXPD,2.46288723008913e-05
ERIE-TJX,2.469133301984669e-05
HUBB-PGR,2.5053927168200616e-05
ETN-KLAC,2.507538525347364e-05
TT-TPL,2.5115086011467574e-05
MAR-ROL,2.5502914313675465e-05
EQIX-ROST,2.6346420596242284e-05
CSGP-TDY,2.7216749661069243e-05
EFX-LOW,2.7421178671092384e-05
DPZ-TXN,2.7657992167480518e-05
ORCL-TPL,2.7772059652503333e-05
WMT-ORCL,2.861316019575318e-05
WAT-FDS,2.9076731156440647e-05
BRK.B-AMP,3.0005822489828613e-05
CTAS-KLAC,3.0472138659423782e-05
KMB-HSIC,3.097681006347431e-05
HD-EQIX,3.1154212884070154e-05
ICE-MU,3.118462355036081e-05
TPL-LRCX,3.180098317955423e-05
DHI-MPWR,3.230790853195563e-05
WTW-BR,3.25278905578116e-05
PAYX-WTW,3.2923693826427806e-05
PEG-LYV,3.3095312637499033e-05
ADSK-DPZ,3.34117520269423e-05
MNST-ROK,3.357279827415513e-05
EQIX-MTD,3.3686848317367953e-05
WTW-ROL,3.3803320190388365e-05
ORCL-APH,3.488348259050414e-05
GOOGL-NVR,3.497715062324201e-05
MSFT-TPL,3.529830393874505e-05
