pair,entry_date,exit_date,days_held,exit_reason,pnl,pnlcomm,z_score,hedge_ratio,spread_volatility,correlation_30d,stock1_rsi,stock1_atr_norm,stock2_rsi,stock2_atr_norm
LMT-ROST,2020-01-03,2020-01-09,6,Z-Score Reversion,1018.6529709141396,919.0528299328049,2.7843206985243643,3.4203903842575847,,0.0502859405325865,,,,
CCI-ES,2020-01-03,2020-01-14,11,Z-Score Reversion,949.5793164202914,851.0781226473059,2.517292217019217,1.6367060591233624,,0.7967203267473701,,,,
AMZN-ICE,2020-01-02,2020-01-15,13,Z-Score Reversion,1248.4310153607803,1151.832638235732,2.6187629686798215,0.948248097719305,,-0.1174016306649091,,,,
LHX-NEE,2020-01-03,2020-01-15,12,Z-Score Reversion,834.9571191028335,734.1162151619333,2.5557507367163477,3.4493117963653033,,0.4031253036632826,,,,
AMZN-SHW,2020-01-02,2020-01-17,15,Z-Score Reversion,1371.6964638806676,1274.0172460477208,3.5535682804789044,0.469826326207506,,0.520557120713561,,,,
CHTR-KMX,2020-01-03,2020-01-17,14,Z-Score Reversion,1648.6525741436963,1553.2606886096546,2.732229683941299,4.84847830708237,,-0.7184584794245564,,,,
ZTS-AWK,2020-01-02,2020-01-21,19,Z-Score Reversion,1007.1420451204322,907.8287925111819,2.5014531671971807,1.0133580151534731,,0.4614360792479082,,,,
IQV-NEE,2020-01-02,2020-01-21,19,Z-Score Reversion,1121.236712280901,1020.869993694456,2.583013017686986,2.507915789099997,,0.8246003937180961,,,,
NOC-ATO,2020-01-03,2020-01-21,18,Z-Score Reversion,820.8532370365974,722.0026187937832,2.6900757878871753,3.2050817926900006,,0.054798142612454,,,,
SRE-IQV,2020-01-02,2020-01-21,19,Z-Score Reversion,752.4590079685804,648.8456679696149,-2.560738219842537,0.4900599672600229,,0.7142954670484118,,,,
WTW-DGX,2020-01-03,2020-01-22,19,Z-Score Reversion,839.3235435164461,741.4726763556291,2.5136124808700404,1.8281820390908727,,0.578309929554467,,,,
CI-CDW,2020-01-20,2020-01-24,4,Z-Score Reversion,945.4933643657168,851.0162335938738,2.517277043103419,1.3820105687431146,,0.6181813838419865,,,,
LHX-LNT,2020-01-03,2020-01-27,24,Z-Score Reversion,839.1832298671397,737.3547768105667,2.9245953217149205,3.7585175509286666,,0.3306013364015412,,,,
A-ACN,2020-01-16,2020-01-28,12,Z-Score Reversion,781.4616632780817,684.7313998533474,2.55704394141578,0.4010592908034425,,0.6716046702641104,,,,
SBUX-GL,2020-01-16,2020-01-28,12,Z-Score Reversion,1206.2799345462954,1107.7983653688696,2.786708882714674,0.8693474663073573,,0.4027408352084791,,,,
MA-DGX,2020-01-02,2020-01-31,29,Z-Score Reversion,49.709312108243466,-48.80390559953481,2.6147564963957013,2.662601685834168,,0.6264296944513206,,,,
AAPL-GOOGL,2020-01-02,2020-01-31,29,Z-Score Reversion,264.0749618623995,168.44900331727834,3.011882049981254,0.961981013402093,,0.7661536810762426,,,,
NUE-ON,2020-01-02,2020-02-03,32,Z-Score Reversion,2520.8187308190245,2423.681752838778,-2.707131245134177,2.470979852126051,,0.4929556044391375,,,,
ABBV-IT,2020-01-29,2020-02-04,6,Z-Score Reversion,1661.8431345823265,1560.4077355157224,-2.644567396900788,0.5354263131506604,,-0.5095158368460735,26.09059639416768,0.0088967574215013,64.14800969968229,0.0076135029688116
GOOG-HCA,2020-01-22,2020-02-05,14,Z-Score Reversion,1267.3487493555513,1169.602915348384,2.82218043674441,0.4780933080269286,,0.4261223016590451,,,,
LMT-JKHY,2020-01-03,2020-02-05,33,Z-Score Reversion,1595.7341495212822,1495.291403852914,3.8538859582795104,2.6190021770062852,,0.0531292921528077,,,,
ABBV-AME,2020-01-23,2020-02-06,14,Z-Score Reversion,1087.8544457680327,987.1642472907957,-3.170590557873656,0.8525033489801939,,0.3854615067113644,29.501915708812255,0.0087453299602941,49.846153846153875,0.0046069231423468
AAPL-ABBV,2020-01-02,2020-02-07,36,Z-Score Reversion,-939.6281188928187,-1037.6195317896456,3.139029618978911,0.7656302718632827,,0.7423866526039082,,,,
EFX-AIZ,2020-01-22,2020-02-11,20,Z-Score Reversion,1698.7715718318177,1601.088069956753,2.9111191362483595,1.085467484258777,,0.4806459793794208,,,,
XEL-DPZ,2020-01-21,2020-02-20,30,Z-Score Reversion,5940.760332610913,5831.101069404369,2.6169933224019166,0.2304719851198743,,-0.2501251884632269,,,,
WDAY-ROST,2020-01-28,2020-02-20,23,Z-Score Reversion,1349.9715493917793,1251.4473107649867,2.607063634814146,1.4919967295369012,,0.6409436364249842,79.38444466965858,0.0102640997693357,41.20191114778504,0.0078810537392554
DPZ-SPGI,2020-01-10,2020-02-20,41,Z-Score Reversion,5976.126011766282,5866.028533760686,-2.8758471757529036,1.0321711597635708,,0.0433873941608821,,,,
AMZN-TYL,2020-02-12,2020-02-24,12,Z-Score Reversion,868.3688765437328,771.015376681219,2.741373038511621,0.3167354130763555,,0.8956454089398506,78.99815517669559,0.0109214590373051,73.327529957812,0.0087089951459293
V-SHW,2020-01-02,2020-02-24,53,Z-Score Reversion,-1199.930835027084,-1298.0829317411947,2.6118112177757005,0.9494100085232106,,0.3767233780909902,,,,
ADSK-TTWO,2020-02-07,2020-02-25,18,Z-Score Reversion,2193.3384295050455,2109.1967067085006,4.27788096186411,1.3430565813888036,,0.3454273293852483,71.62121415868124,0.0096528214272818,37.00455372935705,0.0277266120192285
AMZN-ICE,2020-02-04,2020-02-26,22,Z-Score Reversion,1137.0389389459233,1045.5765249740145,4.186461447399195,0.9537724003698952,,0.4978480552138288,71.61814425001818,0.0119895583309411,41.05096944570993,0.0124952982542505
ICE-SO,2020-01-22,2020-02-26,35,Z-Score Reversion,141.32130582579703,40.12276585463413,-2.85269739850427,1.475264334591513,,0.7723574083820661,,,,
CMG-MPWR,2020-02-21,2020-02-27,6,Z-Score Reversion,1888.2618078736086,1796.4124575721628,2.7610529307120437,0.0990666525673333,0.2323447189300545,0.6659981097182155,64.14749722787678,0.0089436525615737,42.46728709642017,0.0183486932878331
TSLA-RMD,2020-01-22,2020-02-27,36,Z-Score Reversion,-4993.362500699626,-5081.764042226023,2.5562541457430075,0.1542754643532483,,0.8631362800209956,,,,
PKG-AIZ,2020-01-03,2020-02-28,56,Z-Score Reversion,-1865.4863862346938,-1960.3250153239542,-2.5470803262256205,0.8436375566349121,,0.0675240386472491,,,,
WTW-WRB,2020-02-06,2020-03-02,25,Z-Score Reversion,1143.79509855363,1046.8278069661512,-3.254294969379129,6.085997422371521,,0.928476392595582,49.53117688797486,0.0109148901958589,77.9158519161465,0.009536273080646
ICE-DGX,2020-02-06,2020-03-03,26,Z-Score Reversion,2089.1390449015744,1983.683254552316,-3.9142836453926586,0.8784916335867003,,0.5713049297915224,35.29760858260933,0.0134797154637539,66.87346738002475,0.0063593272833937
WDAY-BR,2020-02-03,2020-03-09,35,Z-Score Reversion,1538.1649465501014,1457.5261372364614,3.991068394107383,1.3601312679076558,,0.7572929677788266,70.65438651444444,0.0126989520220573,29.037958451124545,0.0133051182034082
SNA-CB,2020-02-05,2020-03-10,34,Z-Score Reversion,620.9069223314509,525.2425313445395,-4.328304439935864,1.044519303891983,,0.3316093231969272,43.66005949041181,0.0088546870604129,70.34323411669835,0.0117649451383529
