Pair,p-value,Half-Life
L-GEV,0.0076358851558052,7.094727045573041
EBAY-GEV,0.0153034150446873,7.723406272832287
SOLV-ADP,6.894561352670786e-05,7.779114421010712
PAYX-SOLV,9.941393330694807e-05,7.891120446252748
VLTO-NEE,0.0041560043174031,9.260439778806749
JPM-GEV,0.0299532637780814,9.377201780353692
D-VLTO,0.0049420243673638,9.589399746983593
TSCO-VLTO,0.0034612939278703,9.779412067278209
CTVA-GEV,0.0312495542381866,9.793304392414715
PG-VLTO,0.0116482645536183,10.13355608875125
FAST-GEV,0.0112539901521871,10.19530041905564
FTNT-SOLV,0.0128330337942213,10.84109322315965
TDY-SOLV,0.0268843051746365,11.27418033171877
FIS-VLTO,0.0101807960947041,11.404649310238408
SLB-GEV,0.0480648914501135,11.560673501294188
VLTO-EQR,0.0337623234405094,11.57775422445877
VLTO-FE,0.0188139168528919,11.754623596152967
RCL-GEV,0.0311223251789118,12.042610426790704
FFIV-SOLV,0.0380967239106427,12.499271869895257
VLTO-TXN,0.0330874696305481,13.02547868118559
CARR-VLTO,0.023021619299165,13.694612748720393
CEG-GEV,0.0223429884246408,13.719295411341369
LLY-VLTO,0.0371374701809362,14.365865336127651
VLTO-LDOS,0.0181137461370762,14.478720329753562
GOOGL-GOOG,6.852373723872997e-05,14.73914459101196
CEG-WAB,0.0210896504241792,15.482211461316288
IRM-VLTO,0.0368757639641804,15.873670011669637
JPM-CEG,0.0007902697840082,17.881302105889198
CEG-HLT,0.0115217084615748,18.22420531178769
CEG-ADSK,0.0062149431012034,18.246570818752968
TT-CEG,0.0050282336724116,18.86035836082859
PLTR-WRK,0.0029281769688794,18.982279299323082
IR-NVR,8.118239461521544e-06,19.17677932779489
MO-FOXA,4.162184503944518e-06,19.234714777950835
DASH-EBAY,0.0089345659626104,19.26219283383583
CEG-AMP,0.0357196396250463,19.506208669239804
MO-FOX,2.214639023596296e-05,19.582649654723312
CEG-BSX,0.0096137150235994,19.714751628973666
YUM-OTIS,0.0001402523210448,19.91238291034791
CEG-RL,0.0373341224802309,20.096301171582034
CEG-CTAS,0.0005731508812273,20.113489459979927
CARR-ADI,0.0071173437427032,20.647871416928172
MA-CEG,0.0204603768045744,21.156163272825232
CEG-HIG,0.0042501063740361,21.44480641446898
DASH-ADSK,0.002069440583612,21.683762996477977
CEG-WRK,0.0215722827603608,22.133715484909242
CEG-WM,0.0026080329055176,22.157416452026563
HCA-OTIS,0.0046513278238606,22.28863714484201
COIN-TEL,0.0025880177399943,22.499873794256576
CEG-ROL,0.0078372203529022,22.61709749107589
ITW-OTIS,0.000754413452058,22.674251653288096
CEG-UPS,0.020736733087422,22.707992463476035
CEG-CMI,0.0080712374283692,23.04316630486742
CEG-PWR,0.0198567986156183,23.069856360538804
CEG-LKQ,0.048712068025314,23.105017986489397
CEG-AZO,0.0280359506607541,23.42529907048155
CEG-PH,0.0156629250451131,23.480258475604415
CEG-EMR,0.0032770441010565,23.5587405042594
COIN-DLR,0.0037318257322671,23.903274406984103
CEG-BLK,0.0021854165427403,23.991831127154107
COIN-COF,0.0014487386944147,23.992483188895733
CEG-RCL,0.0108490756012205,23.996360965226714
NVDA-CEG,0.0031031286362039,24.145779787402148
DASH-APA,0.0092848526524758,24.420850400784936
PG-OTIS,0.0042513468154382,24.592602545525054
CEG-L,0.023587089416329,24.90483762032322
CEG-FAST,0.01934703696307,24.916598878644965
CME-FOXA,0.0050391635161457,25.05284838023432
COIN-ALLE,0.0118613960360464,25.10505277866292
CEG-MCO,0.0087932398782475,25.12037585588819
OTIS-TSCO,0.0051565841208628,25.257040714340224
COIN-C,0.0097855898661904,25.462048191751112
CEG-BR,0.0145846878694532,25.584240597953556
CEG-APA,0.0291923438052855,25.659026598883905
CEG-HUM,0.0162134656246975,25.821997107231894
CEG-CBOE,0.0198666837915317,25.994621871579845
PG-CARR,0.0066503461768107,25.996767462415875
NFLX-CEG,0.0185404714084206,26.03065450373191
VMC-IR,0.0003353239716254,26.390988853109864
CEG-RSG,0.0025288398252391,26.50967310691818
CEG-SYF,0.0422004228334947,26.53488554613233
CEG-ALLE,0.019792453843039,26.542239119273344
COIN-ADSK,0.0176931388946399,26.597916210414123
AME-OTIS,0.0074013163158467,26.837737465158554
CEG-APH,0.002404010654781,27.300092287044556
COIN-BLK,0.0089658342139389,27.35452409492946
DDOG-UNP,0.0029674477024876,27.392945367368682
COST-CEG,0.0117199059797166,27.94016422400781
MRNA-CRL,0.0220202064992947,28.132043275075826
MRNA-TECH,0.0087526394214788,28.15974728882142
CEG-NWS,0.0068958576758196,28.393278583015267
CEG-BKNG,0.0046016100790437,28.512388103267472
DHI-IR,0.0006242054773234,28.611245380000156
CEG-MCK,0.0033918151524527,28.636153668562944
CEG-DASH,0.0489214389952555,28.644835531389564
COIN-DPZ,0.0153162521311555,28.65049644140897
CEG-SPGI,0.0195959166130936,28.88072749940844
CEG-ORLY,0.0248672104480346,29.076265789312828
COIN-STX,0.0066081770449734,29.330940182687815
MPWR-OTIS,0.0464044334613626,29.372241111573096
DASH-C,0.0086349316223043,29.373148578269753
CEG-APTV,0.0462184978030266,29.692664824026927
CEG-BK,0.0092543928783989,29.708652914608972
COIN-EBAY,0.0209495622916496,29.989894710833564
DASH-TTWO,0.0191476115922204,30.015525490021115
ITW-CARR,0.0048016882020695,30.155103004582916
OTIS-AMAT,0.0192458262041425,30.160461253181857
AMZN-COIN,0.0262566258438046,30.333648695361646
HCA-CARR,0.0085408224154971,30.360990314941255
HCA-MPWR,0.0026218562720667,30.505356161104977
