pair,pnlcomm,entry_date,exit_date
LMT-ROST,919.0528299328049,2020-01-03,2020-01-09
CCI-ES,851.0781226473059,2020-01-03,2020-01-14
AMZN-ICE,1151.832638235732,2020-01-02,2020-01-15
LHX-NEE,734.1162151619333,2020-01-03,2020-01-15
AMZN-SHW,1274.0172460477208,2020-01-02,2020-01-17
CHTR-KMX,1553.2606886096546,2020-01-03,2020-01-17
ZTS-AWK,907.8287925111819,2020-01-02,2020-01-21
IQV-NEE,1020.869993694456,2020-01-02,2020-01-21
NOC-ATO,722.0026187937832,2020-01-03,2020-01-21
SRE-IQV,648.8456679696149,2020-01-02,2020-01-21
WTW-DGX,741.4726763556291,2020-01-03,2020-01-22
CI-CDW,851.0162335938738,2020-01-20,2020-01-24
LHX-LNT,737.3547768105667,2020-01-03,2020-01-27
A-ACN,684.7313998533474,2020-01-16,2020-01-28
SBUX-GL,1107.7983653688696,2020-01-16,2020-01-28
MA-DGX,-48.80390559953481,2020-01-02,2020-01-31
AAPL-GOOGL,168.44900331727834,2020-01-02,2020-01-31
NUE-ON,2423.681752838778,2020-01-02,2020-02-03
ABBV-IT,1560.4077355157224,2020-01-29,2020-02-04
GOOG-HCA,1169.602915348384,2020-01-22,2020-02-05
LMT-JKHY,1495.291403852914,2020-01-03,2020-02-05
ABBV-AME,987.1642472907957,2020-01-23,2020-02-06
AAPL-ABBV,-1037.6195317896456,2020-01-02,2020-02-07
EFX-AIZ,1601.088069956753,2020-01-22,2020-02-11
XEL-DPZ,5831.101069404369,2020-01-21,2020-02-20
WDAY-ROST,1251.4473107649867,2020-01-28,2020-02-20
DPZ-SPGI,5866.028533760686,2020-01-10,2020-02-20
AMZN-TYL,771.0153766812153,2020-02-12,2020-02-24
V-SHW,-1298.0829317411947,2020-01-02,2020-02-24
ADSK-TTWO,2109.1967067085043,2020-02-07,2020-02-25
AMZN-ICE,1045.5765249740145,2020-02-04,2020-02-26
ICE-SO,40.12276585463413,2020-01-22,2020-02-26
